Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
Jan 2005,100,100,100,100,130000,130000,129100,132400
Feb 2005,100.2,100.2,99.4,101.8,130300,130300,128300,134800
Mar 2005,100.2,100.2,98.8,102.9,130200,130200,127600,136300
Apr 2005,100.2,100.2,98.3,104.7,130300,130300,126900,138600
May 2005,100.4,100.4,97.8,106.7,130500,130500,126300,141300
Jun 2005,100.7,100.7,97.4,109,130900,130900,125700,144300
Jul 2005,102.2,102.2,97.8,114.4,132900,132900,126200,151400
Aug 2005,103.9,103.9,98.1,120.2,135100,135100,126600,159100
Sep 2005,105.8,105.8,98.5,126.1,137500,137500,127200,166900
Oct 2005,107.4,107.4,98.8,131.8,139600,139600,127600,174500
Nov 2005,109.2,109.2,99.2,137.6,142000,142000,128100,182200
Dec 2005,110.8,110.8,99.5,144.5,144100,144100,128400,191300
Jan 2006,111.9,111.9,101.6,140.1,145500,145500,131200,185500
Feb 2006,113,113,103.8,137.4,146900,146900,134000,181900
Mar 2006,113.8,113.8,106.2,133.8,147900,147900,137100,177100
Apr 2006,114.8,114.8,108.7,130.7,149200,149200,140300,173000
May 2006,115.8,115.8,111.2,127.6,150500,150500,143600,169000
Jun 2006,116.8,116.8,113.9,124.6,151900,151900,147000,165000
Jul 2006,117,117,114.8,123.2,152100,152100,148200,163100
Aug 2006,117.4,117.4,115.8,121.8,152600,152600,149500,161200
Sep 2006,117.7,117.7,116.9,120.5,153000,153000,150900,159500
Oct 2006,117.8,117.8,117.8,119.3,153200,153200,152100,157900
Nov 2006,118.2,118.2,118.8,118.4,153700,153700,153400,156800
Dec 2006,118.4,118.4,119.8,117.3,153900,153900,154700,155300
Jan 2007,118.3,118.3,118.8,116.5,153800,153800,153400,154300
Feb 2007,118.1,118.1,118,117.3,153500,153500,152300,155300
Mar 2007,117.4,117.4,117.3,116.3,152600,152600,151400,154000
Apr 2007,117.5,117.5,116.9,117.7,152700,152700,150900,155800
May 2007,116.5,116.5,116,116.3,151400,151400,149800,154000
Jun 2007,116.2,116.2,115.9,116.5,151000,151000,149600,154300
Jul 2007,117,117,116.3,118.5,152100,152100,150100,156900
Aug 2007,117.7,117.7,117.1,118.9,153000,153000,151200,157400
Sep 2007,118.3,118.3,117.7,120.7,153800,153800,151900,159800
Oct 2007,119.1,119.1,118.6,122.1,154800,154800,153100,161700
Nov 2007,119.8,119.8,119.3,124.2,155800,155800,154000,164500
Dec 2007,120.4,120.4,119.9,124.2,156500,156500,154800,164500
Jan 2008,121.5,121.5,119.8,126.1,158000,158000,154700,167000
Feb 2008,121.4,121.4,119.1,127,157800,157800,153800,168200
Mar 2008,122.4,122.4,119.2,130.1,159100,159100,153900,172300
Apr 2008,124.6,124.6,120.1,135,162000,162000,155000,178700
May 2008,123.2,123.2,118.7,132.1,160100,160100,153300,174900
Jun 2008,124.2,124.2,119,136.3,161400,161400,153600,180500
Jul 2008,123.7,123.7,116.8,138.8,160800,160800,150800,183800
Aug 2008,122.5,122.5,115.9,138.1,159300,159300,149600,182800
Sep 2008,121,121,113.3,140.9,157300,157300,146300,186600
Oct 2008,120.5,120.5,112.7,142.3,156600,156600,145500,188400
Nov 2008,118.9,118.9,111.1,144.1,154600,154600,143400,190800
Dec 2008,118.2,118.2,110.4,141.2,153700,153700,142500,186900
Jan 2009,121.2,121.2,112.5,144.9,157500,157500,145200,191900
Feb 2009,121.7,121.7,112.6,146.1,158200,158200,145400,193500
Mar 2009,122.5,122.5,114,145.7,159300,159300,147200,192900
Apr 2009,128.1,128.1,119.1,151.4,166500,166500,153700,200500
May 2009,125.1,125.1,118,143.4,162600,162600,152400,189900
Jun 2009,126.6,126.6,120.8,146.5,164600,164600,156000,193900
Jul 2009,124.3,124.3,119.1,139.7,161600,161600,153800,185000
Aug 2009,123.8,123.8,120.1,134.5,160900,160900,155100,178100
Sep 2009,123,123,119.3,135.6,159900,159900,154000,179500
Oct 2009,121.2,121.2,119,129.3,157500,157500,153600,171200
Nov 2009,119.3,119.3,117.5,130.7,155100,155100,151700,173000
Dec 2009,117.7,117.7,118,120.3,153000,153000,152400,159300
Jan 2010,171.5,171.5,177.7,149.7,223000,223000,229400,198200
Feb 2010,150,150,149.3,150.5,195000,195000,192800,199300
Mar 2010,168.5,168.5,172.7,154.1,219000,219000,223000,204000
Apr 2010,171,171,178.8,144.6,222300,222300,230800,191500
May 2010,170.2,170.2,177.5,147.3,221300,221300,229100,195000
