Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,214200,223600,222700,223400,145800,158500
Feb 2005,98.1,98,97.4,99.1,99.9,100.4,210100,219200,216900,221400,145600,159200
Mar 2005,97.7,97.2,95.5,99,99.6,100.8,209300,217400,212700,221100,145200,159800
Apr 2005,98.3,98,97,99.2,98.8,101.3,210600,219200,216100,221700,144100,160500
May 2005,98.8,98.7,97.4,100.3,98.1,101.6,211700,220700,216800,224100,143000,161100
Jun 2005,99,98.9,98.7,99.1,97.7,102.1,212100,221100,219900,221500,142400,161800
Jul 2005,100,99.8,99,100.9,98.5,101.5,214100,223100,220400,225400,143600,160800
Aug 2005,100.8,100.5,98.2,102.9,99.7,100.9,216000,224800,218600,229900,145300,159900
Sep 2005,101.9,101.7,100.1,103.3,100.7,100.3,218200,227400,223000,230700,146800,159000
Oct 2005,101.8,101.5,99.7,103.6,101.4,102.5,218000,227000,222000,231400,147800,162400
Nov 2005,103.6,103.5,102.8,104.4,102.1,104.7,222000,231400,228900,233200,148800,165900
Dec 2005,105.6,105.5,106.1,105.2,102.7,106.9,226100,236000,236200,235100,149800,169500
Jan 2006,104.8,104.5,103.8,105.2,103.8,107.1,224400,233700,231100,235000,151400,169700
Feb 2006,105.4,105,103.3,106.9,104.7,107.2,225800,234700,230100,238900,152600,169900
Mar 2006,105.8,105.5,105.5,105.9,105.6,107.3,226700,235900,235000,236500,153900,170100
Apr 2006,106,105.6,105.3,106.4,106.5,107.4,227000,236200,234600,237700,155300,170300
May 2006,105.2,104.6,103.1,106.4,107.6,107.6,225300,233800,229600,237600,156900,170600
Jun 2006,105.9,105.3,102.9,107.3,109,107.8,226900,235400,229200,239600,158900,170800
Jul 2006,106.3,105.7,103.7,107.6,108.8,107.8,227700,236300,230900,240300,158700,170800
Aug 2006,106.6,105.9,104.1,107.9,109,107.7,228300,236800,231900,241000,158900,170700
Sep 2006,106.6,105.9,103.6,108.1,109,107.7,228300,236800,230800,241600,158900,170700
Oct 2006,107.1,106.5,104.6,108.5,109.3,109.9,229500,238200,233000,242400,159400,174200
Nov 2006,106.2,105.2,102.1,108.1,109.7,112.2,227500,235200,227300,241400,159900,177800
Dec 2006,107.7,106.8,105.6,107.9,110.2,114.5,230700,238900,235100,241100,160600,181500
Jan 2007,108.5,107.6,105.7,109.4,110.6,114.8,232500,240700,235400,244300,161200,181900
Feb 2007,108.8,107.9,106.3,109.8,110.9,115,233000,241300,236800,245300,161700,182300
Mar 2007,109.3,108.5,106.3,110.6,111.2,115.3,234200,242600,236700,247100,162200,182700
Apr 2007,109.2,108.3,106.1,110.6,111.7,116.2,234000,242200,236300,247100,162800,184200
May 2007,109.8,108.9,107.3,110.7,112.2,117.2,235100,243400,238900,247400,163600,185700
Jun 2007,110.1,109.1,106.9,111.2,113,118,235900,244000,238000,248500,164700,187100
Jul 2007,110.7,109.7,107.8,111.7,113.3,117.1,237100,245400,240100,249600,165200,185600
Aug 2007,111.8,111,110.5,111.9,113.7,116.2,239500,248100,246100,249900,165800,184100
Sep 2007,112.2,111.4,110.6,112.4,114.1,115.2,240400,249000,246200,251000,166400,182600
Oct 2007,112.4,111.4,109.9,113.2,114.8,116.8,240800,249200,244800,253000,167400,185100
Nov 2007,114,112.9,111.6,114.4,115.5,118.4,244100,252500,248500,255600,168400,187700
Dec 2007,113.6,112.6,109.3,115.2,116.3,120.1,243400,251700,243300,257400,169500,190400
Jan 2008,114.7,113.6,111.1,115.8,117,119.9,245600,253900,247500,258800,170600,190000
Feb 2008,115.9,115,114.2,116.3,117.4,119.6,248300,257200,254300,259900,171200,189500
Mar 2008,116,115.1,113.4,116.9,117.4,118.9,248500,257300,252500,261200,171200,188500
Apr 2008,115.3,114.3,111.5,117.1,117.6,119.7,247000,255600,248200,261600,171400,189700
May 2008,116,115,112.8,117.4,117.7,120.9,248500,257200,251200,262200,171600,191700
Jun 2008,116.4,115.5,113.3,117.6,118.2,121.7,249400,258200,252300,262800,172400,192900
Jul 2008,115.8,114.7,111.4,117.7,118.8,122.3,248000,256500,248100,263000,173200,193800
Aug 2008,115.2,114,110,117.6,119.3,123.1,246700,254900,244900,262700,173900,195100
Sep 2008,115.4,114.2,110.4,117.5,119.4,123.5,247100,255300,245900,262400,174100,195800
Oct 2008,115,114,111.2,116.7,119.1,120.9,246400,254800,247600,260700,173600,191700
Nov 2008,113.7,112.5,108.9,115.8,118.7,118.4,243600,251600,242500,258800,173100,187700
Dec 2008,112.7,111.6,107.1,115,118.4,115.9,241300,249500,238600,257000,172700,183700
Jan 2009,112.5,111.3,107.8,114.5,118.3,116.2,241000,248900,240100,255900,172500,184200
Feb 2009,112,110.8,107.4,114.1,117.5,116.5,239900,247800,239200,254900,171300,184600
Mar 2009,111.9,110.7,108,113.4,116.2,116.6,239600,247600,240600,253400,169400,184800
Apr 2009,111.7,110.6,107.9,113.3,116.1,119,239300,247400,240200,253200,169300,188600
May 2009,112.8,111.7,109.4,113.9,116.5,121.8,241600,249700,243600,254400,169800,193000
Jun 2009,114.2,113,112,114.3,117.3,124.9,244600,252600,249400,255300,171000,198000
Jul 2009,115,113.7,113,114.8,117.8,124.4,246300,254300,251700,256500,171700,197100
Aug 2009,115.4,114.2,113,115.6,118.2,123.5,247200,255400,251700,258300,172400,195700
Sep 2009,116.1,114.9,113.7,116.3,118.2,122.5,248700,257000,253200,259900,172400,194100
Oct 2009,117.6,116.5,115.5,117.8,118.2,122.1,251800,260500,257300,263200,172400,193600
Nov 2009,118.2,117.2,115.4,119,118,121.7,253100,262100,257000,265900,172100,192900
Dec 2009,120.5,119.7,118.9,120.4,118.2,121.6,258100,267700,264800,269000,172400,192800
Jan 2010,118.9,118,116.3,119.9,117.1,118.7,254700,263900,258900,267900,170700,188100
Feb 2010,119.1,118.2,117.4,119.2,116.4,123.3,255100,264200,261500,266400,169700,195500
Mar 2010,120.2,119.1,117.7,120.7,119.1,127.9,257500,266300,262200,269700,173700,202700
Apr 2010,121,119.9,119.4,120.8,119.8,131.2,259200,268000,265800,269800,174700,207900
May 2010,120.8,119.6,117.7,121.5,120.4,131.7,258700,267500,262100,271500,175500,208700
Jun 2010,119.9,118.8,116.2,121.4,119.4,129.1,256800,265700,258700,271300,174100,204700
Jul 2010,120.9,120,118,122.2,117.7,126.4,258900,268400,262700,272900,171600,200400
Aug 2010,120.6,119.7,118.1,121.6,116.9,125.9,258300,267700,262900,271600,170400,199500
Sep 2010,119.5,118.4,115,121.5,118.2,127.3,255900,264800,256200,271500,172400,201700
Oct 2010,119.7,118.6,116.9,120.4,119.5,129.1,256500,265200,260400,269000,174300,204600
Nov 2010,120.1,118.9,117.6,120.4,119.9,127.2,257200,265900,261900,269000,174800,201600
Dec 2010,120.9,119.9,118.7,121.1,118.6,125.9,258900,268200,264300,270500,172900,199600
Jan 2011,121.1,120.2,118.3,122.2,119.1,122,259400,268700,263400,273000,173700,193400
Feb 2011,121.8,120.6,117,123.9,120.1,128.9,260800,269600,260500,276800,175100,204300
Mar 2011,121.6,120.3,117.1,123.5,120.2,132.1,260400,269000,260700,275800,175300,209400
Apr 2011,123.2,122,119,124.9,119.9,131.4,263800,272900,265100,279000,174800,208200
May 2011,123.5,122.6,120.3,124.8,119.6,131,264500,274100,267800,278800,174400,207600
Jun 2011,123.4,122.5,119.4,125.4,118,133.1,264400,273900,265900,280200,172100,211000
Jul 2011,122.7,121.6,118.2,124.8,120.2,130.9,262800,271900,263300,278800,175200,207500
Aug 2011,123.6,122.7,119.9,125.3,120,127,264800,274300,267100,280000,174900,201300
Sep 2011,124.7,123.8,122.3,125.6,120.6,126.1,267200,276900,272300,280600,175800,199900
Oct 2011,125,124.2,121.4,126.9,119.3,126.8,267800,277700,270400,283400,173900,201000
Nov 2011,126.3,125.5,123,127.9,120.7,128.2,270600,280600,274000,285700,176000,203200
Dec 2011,126.8,125.8,123.3,128,122.5,129,271500,281300,274600,286000,178600,204400
Jan 2012,127.5,126.4,124.4,128.4,124.1,129.5,273000,282700,277000,286900,181000,205200
Feb 2012,127.3,126.4,123.3,129.5,126.3,123.3,272700,282700,274600,289200,184200,195500
Mar 2012,127.5,126.7,122.5,130.6,123.9,125.5,273100,283200,272800,291700,180600,198900
Apr 2012,128.9,128.2,124.3,131.9,123.9,124.4,276200,286700,276800,294600,180600,197200
May 2012,128.9,128,123.9,131.6,122.7,130.7,276000,286100,275900,294000,178900,207200
Jun 2012,129.5,128.6,124.8,132.1,124.2,131,277300,287500,278000,295100,181100,207700
Jul 2012,130.2,129.3,126,132.5,123.3,130.7,278900,289200,280500,295900,179700,207100
Aug 2012,131.3,130.5,127.9,133,124.3,130.6,281300,291700,284800,297200,181200,207000
Sep 2012,131.5,130.8,127,134.2,121.8,130.2,281700,292400,282800,299800,177600,206400
Oct 2012,131.4,130.6,125.3,135.2,123.5,131.9,281500,292100,279000,302100,180000,209000
Nov 2012,133.6,133,129.1,136.4,122.6,132.1,286100,297400,287500,304700,178700,209400
Dec 2012,134.1,133.3,128.4,137.5,124.9,133.8,287200,298100,285900,307100,182100,212000
Jan 2013,133.4,132.6,127.3,137.1,125.2,132.4,285800,296600,283600,306300,182600,209800
Feb 2013,134.2,133.5,129.7,137,125.6,130.2,287500,298600,288900,306100,183100,206400
Mar 2013,135.1,134.3,131.1,137.4,126.3,135.6,289300,300200,291900,307000,184200,215000
Apr 2013,135,134.2,130.9,137.3,129.2,135.6,289100,300100,291600,306800,188400,214900
May 2013,136.2,135.5,132.2,138.5,131.1,134.5,291800,302900,294500,309500,191100,213200
Jun 2013,136.6,135.9,132.6,139,131.2,134.8,292700,303900,295400,310600,191300,213600
Jul 2013,137.8,136.9,133.3,140.2,132,136.2,295100,306100,296800,313200,192500,215900
Aug 2013,138.2,137.5,133.3,141.1,131.9,135.3,296100,307400,296800,315300,192300,214400
Sep 2013,140.9,140.2,137.9,142.4,134.2,134.6,301900,313500,307200,318200,195600,213300
Oct 2013,140.9,140.4,136.5,143.7,134.4,131.8,301800,313900,303900,321100,195900,208900
Nov 2013,140.9,140.2,135.1,144.4,136.6,133.6,301800,313500,300800,322700,199200,211800
Dec 2013,141.4,140.8,136.3,144.8,136.1,131.5,302900,314900,303500,323400,198400,208500
Jan 2014,142.9,142.4,139.2,145.3,137.9,129.3,306000,318500,310000,324500,201000,204900
Feb 2014,142.5,141.8,138.7,144.8,137.8,133.5,305200,317100,308900,323500,200900,211600
Mar 2014,143.6,142.9,140.1,145.8,138.8,137.3,307600,319500,311900,325700,202300,217600
Apr 2014,143.3,142.8,137.8,147.3,137.4,138.1,307000,319300,306900,329000,200300,218900
May 2014,146,145.6,141.9,149.1,137.6,137.9,312800,325600,316000,333000,200600,218500
Jun 2014,146.8,146.4,142.9,149.7,138,137.7,314400,327300,318300,334500,201200,218300
Jul 2014,148.2,147.9,144,151.3,140.5,137.1,317500,330600,320700,338100,204900,217300
Aug 2014,148,147.7,141.5,152.8,140.7,137.7,317100,330200,315100,341400,205100,218300
Sep 2014,148.9,148.5,142.7,153.4,143,138.2,319000,332100,317800,342700,208500,219100
