Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,171600,176800,193100,160800,134400,110300
Feb 2005,99.4,99.4,99.3,100.3,99.9,100.3,170600,175700,191700,161300,134300,110600
Mar 2005,99.9,99.9,99.7,101,99.7,100.5,171500,176700,192500,162400,134000,110900
Apr 2005,98.5,98.4,99.3,98.2,99.7,100.8,169100,173900,191800,157900,134000,111200
May 2005,99.9,99.7,100.4,100.1,99.5,101.2,171400,176200,193900,161000,133700,111600
Jun 2005,100.5,100.5,100.2,101.8,99.4,101.5,172500,177600,193400,163700,133600,112000
Jul 2005,100.9,101,101.6,101.2,99.6,101.5,173200,178500,196100,162700,133900,112000
Aug 2005,100.8,100.7,101.8,100.4,99.6,101.5,172900,178100,196500,161400,133900,111900
Sep 2005,102.5,102.6,104.1,101.9,99.6,101.5,175900,181400,201100,163900,133900,111900
Oct 2005,102.6,102.7,103.8,102.4,99.9,101.5,176000,181600,200400,164600,134200,111900
Nov 2005,98.6,98.6,101.4,97.6,100,101.4,169200,174300,195800,157000,134400,111800
Dec 2005,104.3,104.5,106.7,103.1,100,101.5,178900,184700,206100,165800,134400,112000
Jan 2006,103.3,103.4,104.5,102.2,101.8,102.5,177200,182800,201800,164300,136800,113100
Feb 2006,107.1,107.4,104.9,110.8,103.2,103.7,183800,189800,202600,178200,138700,114400
Mar 2006,107.5,107.7,106.8,109.5,104.5,105,184400,190400,206300,176000,140400,115800
Apr 2006,109.5,109.7,109.4,111,106,106.3,187900,193900,211300,178500,142500,117300
May 2006,112.1,112.2,110,116,107.4,107.6,192300,198400,212400,186600,144300,118700
Jun 2006,111,111,109.9,113.4,108.9,109.1,190400,196200,212200,182300,146300,120300
Jul 2006,109.9,109.8,108.8,112,109.1,109.7,188600,194200,210000,180100,146600,121000
Aug 2006,109.8,109.8,110.3,110.1,109.3,110.2,188500,194200,213000,177000,146900,121500
Sep 2006,109.3,109.1,109.4,110,109.3,110.7,187500,192900,211300,176800,146900,122100
Oct 2006,112,112.1,109.2,116.1,109.7,111.2,192200,198200,210900,186700,147400,122700
Nov 2006,112.2,112.4,112.8,114.1,110,112,192500,198700,217900,183500,147900,123500
Dec 2006,111.4,111.3,106.7,117.4,110,112.7,191100,196800,206000,188800,147900,124300
Jan 2007,111.9,111.9,109.5,114.4,111.2,113,192000,197900,211400,184000,149500,124600
Feb 2007,111.2,111.1,110.6,112.6,112.4,113.7,190900,196400,213500,181000,151000,125400
Mar 2007,113.3,113.3,112.5,115,112.9,114.3,194400,200300,217200,184900,151700,126100
Apr 2007,112.5,112.3,109.1,116.7,113.8,115,193100,198600,210600,187700,152900,126900
May 2007,112.3,111.9,110.8,114.6,114.4,115.6,192700,197800,214000,184200,153800,127500
Jun 2007,114.2,114,113.2,116.3,115.4,116.5,195900,201500,218500,187000,155100,128500
Jul 2007,115.7,115.5,113.5,118.8,116,118.1,198500,204200,219100,191000,155900,130300
Aug 2007,116.7,116.6,113.6,120.6,116.4,119.2,200300,206100,219400,193900,156400,131500
Sep 2007,116.5,116.3,112.9,121.1,116.9,120.7,199900,205600,218100,194700,157100,133100
Oct 2007,115.7,115.3,113.7,118.1,117.6,121.9,198500,203900,219600,189900,158100,134500
Nov 2007,117.7,117.6,115.5,122,118.4,123.7,201900,208000,223000,196100,159100,136400
Dec 2007,114.1,113.5,110.4,118.2,118.8,125.3,195800,200600,213100,190100,159600,138200
Jan 2008,122.6,122.8,116.7,129.2,119.8,123.9,210300,217100,225400,207700,161000,136700
Feb 2008,119.9,119.9,116.6,124.5,121.1,123.9,205700,212000,225200,200200,162800,136700
Mar 2008,118.8,118.7,116.1,122.8,123.3,123.2,203800,209800,224100,197500,165700,135900
Apr 2008,118.6,118.4,116.8,121.8,124.9,122.6,203500,209300,225600,195900,167900,135200
May 2008,118.7,118.5,118.8,121,126.8,121.9,203700,209500,229400,194600,170400,134500
Jun 2008,118.8,118.8,116.5,124,127,121,203900,210100,224900,199400,170700,133500
Jul 2008,119.2,119.2,118.5,122.9,128.1,120.9,204500,210700,228800,197700,172200,133300
Aug 2008,120.8,121.1,118.7,126.3,128.6,120.2,207300,214100,229200,203100,172900,132600
Sep 2008,117.5,117.5,116.2,122.3,130.2,120.4,201600,207800,224300,196600,175000,132800
Oct 2008,117.2,117.3,119.7,119.5,130.1,119.8,201100,207400,231200,192100,174900,132100
