Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,211800,215700,210600,217400,163500,164000
Feb 2005,100,100,99.7,100.1,100.3,100.2,211800,215800,210000,217700,164000,164300
Mar 2005,100.7,100.7,100.5,100.9,100.7,100.4,213200,217200,211600,219300,164600,164600
Apr 2005,100.5,100.5,102.5,99.9,101,100.5,212800,216800,215800,217200,165200,164900
May 2005,101,101,103.5,100.4,101.5,100.7,213900,217900,217900,218200,165900,165100
Jun 2005,101.9,102,103.9,101.5,101.8,100.9,215800,220000,218900,220700,166500,165400
Jul 2005,103.1,103.2,104.1,102.8,102.1,101,218300,222600,219200,223500,167000,165700
Aug 2005,101.8,101.9,103,101.5,102.4,101.2,215600,219700,217000,220600,167500,166000
Sep 2005,102.5,102.6,104.4,102.1,102.8,101.4,217100,221300,219800,221900,168000,166300
Oct 2005,103.1,103.2,104.9,102.7,103,101.5,218300,222500,221000,223200,168400,166500
Nov 2005,106.7,107,107.3,107,103.3,101.7,226000,230800,226000,232700,168900,166800
Dec 2005,105.4,105.6,106.6,105.3,103.5,101.9,223200,227700,224600,228900,169200,167100
Jan 2006,103.4,103.4,106.7,102.2,103.3,102.1,218900,223100,224700,222200,168900,167400
Feb 2006,106,106.2,107,105.9,102.9,102.3,224500,229100,225400,230200,168300,167700
Mar 2006,107.1,107.4,110.1,106.6,102.6,102.4,226900,231700,231900,231700,167700,167900
Apr 2006,107.5,107.8,109.5,107.3,102.2,102.6,227600,232500,230700,233200,167100,168200
May 2006,107.4,107.7,107.7,108,101.8,102.7,227400,232400,226800,234900,166500,168500
Jun 2006,105.7,106,109,105.2,101.5,102.9,223900,228600,229600,228600,166000,168800
