Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,319700,366700,356500,373900,216000,201700
Feb 2005,102.1,103.2,100.2,104.1,99.7,101.1,326500,378500,357200,389100,215400,204000
Mar 2005,99.5,98,85.8,103.2,100.1,101.8,318100,359500,305900,385900,216200,205400
Apr 2005,101.9,101.1,90.8,104.3,100.3,102.1,325900,370800,323800,389800,216600,205900
May 2005,103.4,102.8,90.6,106,100.4,102.8,330600,376900,323000,396300,216800,207400
Jun 2005,103.9,103.2,91,106.5,101,103.4,332200,378400,324500,398300,218200,208600
Jul 2005,103.9,103.3,89.1,107.3,101.3,103.2,332200,378800,317800,401100,218900,208100
Aug 2005,104.4,103.8,90.6,107.1,101.4,103.6,333700,380600,323000,400600,219100,209000
Sep 2005,104.7,104.3,91,107.6,102.1,104.1,334700,382300,324500,402200,220600,209900
Oct 2005,105.4,105.1,91.3,108.7,102.8,104,337000,385500,325400,406300,222100,209800
Nov 2005,106.4,106.3,94.1,109.2,103.1,104.8,340100,389700,335300,408300,222800,211400
Dec 2005,106.6,106.5,93.4,109.6,104.2,105.6,340900,390400,333000,409700,225000,212900
Jan 2006,107.4,107.5,94.6,110.4,104.4,105.9,343400,394100,337100,412800,225600,213500
Feb 2006,107.6,107.3,94.4,110.5,105.2,106.6,344000,393600,336600,413300,227300,215100
Mar 2006,108.3,108.3,96.1,111.3,105.1,106.5,346200,397200,342600,416000,227000,214900
Apr 2006,108.9,109,96.1,112,105.8,107.1,348100,399800,342500,418900,228600,216000
May 2006,109.1,109.2,95.9,112,106.1,107.3,348700,400300,341800,418800,229200,216400
Jun 2006,109.1,109.1,95.3,112.3,106.6,107.2,348700,400000,339700,419900,230200,216200
Jul 2006,109.3,109.4,96.2,112.2,106.7,107.9,349500,401000,343000,419400,230500,217700
Aug 2006,109.4,109.4,95.2,112.6,106.8,108.1,349700,401300,339400,421100,230600,218100
Sep 2006,109.8,109.8,95.7,113,107.6,108.8,351000,402600,341100,422500,232400,219400
Oct 2006,109.8,109.8,96.2,112.8,107.6,108.9,350900,402700,343000,421600,232400,219600
Nov 2006,110,110,96,113.2,108.2,109,351600,403300,342400,423200,233800,219800
Dec 2006,110.4,110.5,96.9,113.6,108.7,109.5,353000,405200,345600,424600,234700,220800
Jan 2007,110.7,110.7,96.8,113.6,109.1,110.3,353900,405800,345100,424800,235700,222500
Feb 2007,112,112.2,98.6,115.3,109.9,110.6,358200,411600,351400,431100,237400,223000
Mar 2007,112.9,113.1,99.2,116.2,110.6,111.7,360800,414700,353800,434400,238900,225300
Apr 2007,113.6,113.8,99.2,117,111,112.6,363100,417200,353700,437400,239800,227100
May 2007,114.4,114.5,100.1,117.6,111.6,113.6,365600,420000,356700,439600,241100,229200
Jun 2007,115.2,115.4,100.8,118.5,112.3,115,368200,423000,359300,443000,242500,231900
Jul 2007,116,116.3,102.2,119.2,113,115.6,370900,426300,364400,445800,244000,233100
Aug 2007,116.7,117,102.6,120.1,113.9,116,373000,429100,365700,449100,246100,233900
Sep 2007,117.3,117.6,102.9,120.8,113.8,116.5,374900,431300,366800,451500,245800,234900
Oct 2007,118.2,118.5,103.5,121.8,114.9,117.6,377800,434500,368900,455400,248100,237300
Nov 2007,118.7,119,103.7,122.3,115.4,118.7,379400,436300,369700,457400,249200,239500
Dec 2007,119.6,120,104.5,123.3,116.3,119.9,382300,439900,372400,461200,251100,241800
Jan 2008,120.3,120.6,105,123.9,116.9,121.1,384700,442400,374400,463400,252400,244200
Feb 2008,120.3,120.6,105.2,123.9,117.2,121.9,384600,442100,375200,463300,253100,245900
Mar 2008,120.1,120.2,104.4,123.6,117.2,122.7,383900,440800,372200,462100,253100,247400
Apr 2008,119.8,120,104.7,123.2,117.7,122.7,383100,440000,373200,460600,254300,247400
May 2008,119.3,119.4,104.4,122.5,118.2,122.8,381500,437800,372200,458200,255300,247700
Jun 2008,118.7,118.8,104.1,121.9,117.8,122.4,379600,435600,371000,455700,254500,246900
Jul 2008,118.2,118.1,103.3,121.2,118,122.8,377800,433000,368400,453200,254800,247600
Aug 2008,117.7,117.5,103.8,120.3,118.1,122.9,376200,430700,370100,449800,255200,247800
Sep 2008,117,116.7,103,119.6,118,122.3,374000,428100,367200,447200,254900,246700
Oct 2008,115.9,115.5,101.9,118.3,117.6,122.2,370600,423500,363100,442500,254100,246500
Nov 2008,114.8,114.3,99.9,117.3,117.2,121.4,367000,419100,356100,438600,253100,244800
Dec 2008,113.4,112.8,98.5,115.9,115.5,120.6,362500,413800,351000,433300,249500,243300
Jan 2009,111.8,111.5,96.4,114.6,114.8,116.7,357400,408700,343800,428500,248000,235300
Feb 2009,110.6,110,95.8,113.1,114.2,117.2,353500,403300,341700,422700,246600,236300
Mar 2009,110.9,110.4,95.8,113.5,114.4,117.4,354700,404900,341700,424200,247000,236700
Apr 2009,111.8,111.3,97.2,114.3,114.1,118.6,357400,408200,346400,427200,246400,239200
May 2009,113.4,113.1,98.8,116.1,114.4,119.7,362600,414900,352200,434000,247100,241500
Jun 2009,115.4,115.2,100.9,118.2,115.9,121.7,368900,422500,359800,441800,250300,245500
Jul 2009,117.5,117.5,102.9,120.4,117.4,123.9,375800,430800,367000,450200,253500,249900
Aug 2009,119.5,119.4,104.8,122.4,118.7,126.3,382000,437800,373700,457600,256300,254800
Sep 2009,121.4,121.3,105.9,124.5,119.9,128.7,388000,444800,377500,465500,258900,259500
Oct 2009,123.3,123.3,108.4,126.4,121.7,130.7,394300,452300,386300,472500,262800,263600
Nov 2009,125.1,125.1,109.3,128.2,123.2,133.2,400000,458600,389500,479500,266200,268600
Dec 2009,126.6,126.6,111,129.7,125,135.1,404900,464400,395700,485100,270100,272400
Jan 2010,128.1,127.9,111.8,131.1,126.7,137.3,409500,469100,398700,490200,273600,276900
Feb 2010,129.2,129.2,112.4,132.8,127.3,137.8,412900,473900,400800,496400,274900,277900
Mar 2010,129.7,129.8,112.8,133.2,128.3,138.3,414600,475800,402300,497900,277200,278900
