Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,172600,174800,171300,179400,120100,98700
Feb 2005,100.6,100.6,100.8,100.2,101.2,100.8,173700,175900,172600,179800,121500,99500
Mar 2005,101.2,101.1,101.3,100.3,102.4,101.6,174700,176800,173500,180000,123000,100300
Apr 2005,101.1,101,101.3,100,103.6,102.4,174500,176500,173600,179400,124400,101100
May 2005,100.7,100.6,101.3,99.3,104.8,103.2,173800,175800,173500,178200,125900,101900
Jun 2005,100.3,100.1,101.1,98.5,106.1,104.2,173100,175000,173200,176700,127400,102800
Jul 2005,99.9,99.8,100.7,98.6,107.4,105,172500,174400,172500,176800,129000,103600
Aug 2005,99.8,99.7,100.3,98.8,108.7,105.9,172300,174200,171800,177200,130500,104500
Sep 2005,99.7,99.4,99.2,98.3,110,106.7,172000,173800,170000,176300,132100,105300
Oct 2005,100.5,100.2,102,98,111.3,107.6,173400,175200,174700,175800,133700,106200
Nov 2005,101.2,100.9,104.3,97,112.7,108.4,174600,176400,178600,174000,135300,107000
Dec 2005,102.1,101.8,106.5,97,114,109.3,176200,178000,182500,174000,136900,107900
Jan 2006,104.3,104,107.6,100.1,117.8,109.9,180000,181800,184400,179500,141500,108500
Feb 2006,106.5,106.1,108.4,103.5,121.8,110.5,183800,185500,185700,185600,146300,109100
Mar 2006,108.6,108.3,109.1,106.9,125.9,111.1,187500,189300,186900,191800,151200,109700
Apr 2006,108.9,108.5,109.2,107,130.1,111.9,187900,189600,187100,192000,156300,110400
May 2006,108.8,108.3,109.2,106.9,134.6,112.5,187800,189300,187000,191800,161600,111000
Jun 2006,108.7,108.2,109.2,106.6,139.1,113.1,187700,189200,187100,191300,167000,111600
Jul 2006,109.6,109,110.5,107.1,140.6,115.2,189100,190600,189300,192200,168900,113700
Aug 2006,110.5,110,112,107.6,142.2,117.3,190800,192200,191800,193000,170800,115800
Sep 2006,111.4,110.9,112.8,107.5,143.8,119.6,192300,193800,193200,192800,172700,118000
Oct 2006,111,110.4,113.5,106.6,145.4,121.8,191500,192900,194400,191200,174600,120200
Nov 2006,110.4,109.6,113.6,105,147,124,190500,191600,194600,188400,176600,122400
Dec 2006,109.9,109.2,113.8,104.2,148.6,126.3,189700,190800,195000,187000,178500,124700
Jan 2007,111,110.1,114.7,105.1,150.9,125.8,191500,192500,196500,188500,181200,124200
Feb 2007,112.1,111.3,115.2,106.6,153,125.2,193400,194500,197400,191200,183800,123600
Mar 2007,113,112.2,115.7,108.3,155.3,124.7,195100,196200,198200,194300,186500,123100
Apr 2007,115.2,114.4,117.2,110.9,157.5,124.2,198800,200000,200700,199000,189200,122600
May 2007,116.8,116.1,118.5,112.9,159.9,123.7,201600,202900,203000,202500,192000,122100
Jun 2007,118.7,117.9,119.9,115.2,162.2,123.2,204800,206100,205400,206600,194800,121600
Jul 2007,118,117.3,120.2,113.8,161.3,122.4,203700,205000,205900,204200,193700,120800
Aug 2007,117.7,116.9,120.3,112.9,160.4,121.7,203100,204400,206000,202600,192600,120100
Sep 2007,117.2,116.5,120.4,111.3,159.5,120.9,202300,203700,206200,199600,191500,119300
Oct 2007,119.4,118.7,120.5,116.4,158.5,120.2,206000,207500,206400,208800,190300,118600
Nov 2007,121.6,121,120.7,121,157.5,119.5,209800,211500,206800,217000,189200,117900
Dec 2007,124,123.5,121.1,126.3,156.6,118.7,214000,215800,207400,226500,188100,117200
Jan 2008,123.3,122.8,122.8,122.5,154.9,118.3,212900,214700,210300,219700,186000,116800
Feb 2008,122.6,122.1,123.8,119.8,153.1,117.9,211600,213500,212100,214900,183900,116400
Mar 2008,121.1,120.5,124.7,116.2,151.2,117.6,209000,210700,213600,208400,181600,116100
Apr 2008,122.1,121.7,124.3,118.3,149.5,117.3,210700,212700,213000,212300,179600,115800
May 2008,121.8,121.5,123.4,119,148.5,116.8,210300,212300,211400,213400,178300,115300
Jun 2008,121.7,121.3,122.4,119.6,147.3,116.4,210100,212100,209600,214600,176900,114900
Jul 2008,121.8,121.3,122.7,119.3,147.5,119.1,210200,212100,210200,214000,177200,117600
Aug 2008,122.2,121.7,122.9,120,149,122,211000,212800,210500,215200,178900,120400
Sep 2008,122.7,122.2,123.1,120.3,149.3,125.4,211700,213600,210800,215900,179300,123800
Oct 2008,122.4,121.9,122.1,121,150.6,128.5,211200,213000,209200,217100,180900,126800
Nov 2008,122.4,121.8,121.8,121.6,151.4,132,211300,212900,208700,218100,181800,130300
Dec 2008,122.7,122,122.3,121.7,152.3,135.7,211700,213300,209500,218300,182900,133900
Jan 2009,120.9,120.2,121.9,117.7,150.9,133.3,208700,210100,208900,211200,181200,131600
Feb 2009,118.8,118.2,120.4,115.5,149.4,130.7,205100,206600,206300,207200,179400,129000
Mar 2009,116.2,115.6,118.6,112.3,148,128.5,200600,202000,203200,201500,177800,126800
Apr 2009,117.6,117,119.4,114.2,147,127.7,203000,204600,204500,204800,176600,126000
May 2009,117.8,117.4,119.6,114.5,146.1,125.6,203300,205200,204800,205500,175500,124000
Jun 2009,118.3,117.9,120.4,114.6,145,123.4,204100,206100,206300,205600,174100,121800
Jul 2009,119.2,118.9,120.5,116.6,144.4,122.4,205700,207900,206500,209200,173400,120800
Aug 2009,121.1,121,121.1,120.4,144.2,121.4,209100,211500,207500,216000,173200,119800
Sep 2009,122.4,122.4,121.4,123.1,144,120.4,211300,213900,207900,220800,173000,118800
Oct 2009,122.1,122,122.5,121.2,143.2,119.6,210700,213300,209800,217400,172000,118000
Nov 2009,122,122,124.8,118.6,143,118.3,210500,213200,213800,212800,171800,116800
Dec 2009,122.1,122.1,127.8,115.2,142.8,117.4,210700,213400,219000,206700,171500,115900
Jan 2010,123.1,123.2,126.5,118.8,139.3,114.4,212400,215400,216700,213100,167300,112900
Feb 2010,124.3,124.4,126,123,145.1,119.6,214500,217400,215800,220600,174300,118000
Mar 2010,125.4,125.3,126.6,124,147,125.1,216400,219100,216900,222500,176500,123500
Apr 2010,125,124.9,127.8,121.2,153.6,123.1,215800,218300,219000,217400,184500,121500
May 2010,126.9,126.5,129.6,122.6,179.3,132.8,219100,221200,222000,219900,215300,131100
Jun 2010,127.6,127.2,132,121.2,182.4,132,220300,222400,226100,217500,219100,130300
Jul 2010,128.6,128.4,131.2,124.7,179.9,123.9,222000,224400,224800,223800,216000,122300
Aug 2010,128.1,127.9,133.4,121.2,178.1,119.4,221100,223600,228500,217400,213900,117800
