Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,239500,255900,249400,259000,167400,165400
Feb 2005,100.4,100.5,100.6,100.4,99.7,100.5,240400,257200,250800,260100,166900,166200
Mar 2005,100.5,100.6,101.1,100.3,99.5,101,240600,257400,252200,259800,166600,167000
Apr 2005,101.4,101.5,102.5,101,100.1,101.5,242800,259800,255600,261700,167500,167900
May 2005,102.3,102.5,104,101.7,100.7,102,245100,262200,259400,263500,168500,168700
Jun 2005,101.8,101.8,101.4,101.9,101.2,102.5,243800,260400,252900,264000,169400,169600
Jul 2005,102.6,102.7,102.6,102.6,101.8,103.6,245800,262700,256000,265800,170400,171400
Aug 2005,102.7,102.7,100.3,103.8,102.4,104.8,246000,262900,250100,268800,171500,173300
Sep 2005,103,103,100.4,104,102.9,105.9,246800,263700,250400,269300,172300,175200
Oct 2005,103.1,103.2,103,103.4,103.6,103.9,247000,264000,256800,267700,173400,171900
Nov 2005,103.5,103.6,102.6,103.7,104.1,102,248000,265000,255800,268700,174300,168700
Dec 2005,104.9,105.2,103.1,106.1,104.6,100.1,251300,269200,257100,274900,175100,165600
Jan 2006,104.8,104.9,103,105.8,105.1,102.4,251000,268500,256800,273900,175900,169300
Feb 2006,105.7,105.9,103.3,106.9,105.6,104.6,253200,270900,257600,276900,176700,173000
Mar 2006,105.4,105.3,102.1,106.6,106,106.9,252400,269500,254700,276200,177400,176800
Apr 2006,106,106,104.1,106.7,106.5,104.8,253800,271200,259700,276400,178300,173400
May 2006,105.6,105.5,104.6,105.8,107.1,102.8,252800,270000,260900,274100,179300,170100
Jun 2006,106.4,106.6,106.6,106.5,107.8,100.8,254900,272700,265900,275900,180400,166800
Jul 2006,106.2,106.2,105.1,106.7,108,101.9,254300,271700,262000,276400,180800,168600
Aug 2006,107,107.1,106.7,107.3,108.1,103,256200,274100,266200,278000,181000,170400
Sep 2006,107.5,107.7,106.3,108,108.2,104.2,257400,275600,265000,279800,181100,172300
Oct 2006,107.9,108.2,104.3,110,107.9,103.4,258400,276800,260200,284900,180700,171000
Nov 2006,108.2,108.5,105.1,109.8,107.6,102.7,259100,277700,262200,284300,180100,169800
Dec 2006,108.1,108.5,107,109.2,107.2,101.9,258900,277700,266900,282700,179400,168600
Jan 2007,108.7,109.1,106.4,110.3,107.8,101.6,260300,279300,265300,285800,180500,168100
Feb 2007,108.7,109.1,107.8,109.7,108.4,101.3,260300,279300,268900,284000,181500,167600
Mar 2007,109.2,109.7,108.1,110.3,109.1,101,261600,280700,269500,285700,182600,167100
Apr 2007,109.5,109.8,108.8,110.2,109.8,101.5,262200,281100,271400,285500,183800,167800
May 2007,110.8,111.2,109.2,112,110.5,101.9,265300,284500,272400,290100,185000,168600
Jun 2007,111.3,111.7,109.5,112.6,111.1,102.4,266600,285900,273100,291700,186000,169400
Jul 2007,111.1,111.3,109.2,112.2,112.3,104.1,266000,284800,272300,290500,188000,172100
Aug 2007,111.9,112.1,111.5,112.6,113.3,105.7,268100,286900,278100,291700,189700,174900
Sep 2007,113,113.3,112.9,113,114.5,107.4,270700,290000,281600,292700,191700,177700
Oct 2007,112.6,112.7,111.5,113.4,114.9,106.4,269600,288400,278200,293600,192300,176000
Nov 2007,114.5,114.9,114.3,115,115.1,105.4,274200,294100,285100,297800,192600,174400
Dec 2007,113.8,114.1,111.5,115.3,115.2,104.5,272600,292000,278200,298700,192800,172800
Jan 2008,114.6,114.9,115.2,114.7,115.7,104.8,274400,294000,287400,297200,193700,173300
Feb 2008,115,115.4,114.8,115.6,116.2,104.8,275500,295400,286400,299500,194500,173300
Mar 2008,116.5,117.3,119.6,116.1,116.7,105.3,279100,300100,298300,300800,195400,174100
Apr 2008,116.2,117,117.6,116.6,117.2,106.3,278400,299300,293200,301900,196200,175800
May 2008,115.7,116.4,115.9,116.6,117.9,106.1,277200,297900,289000,301900,197300,175500
Jun 2008,115.8,116.3,115.5,116.5,118.5,106.3,277300,297600,288100,301800,198300,175900
Jul 2008,117.1,117.9,117,118,119.1,107.1,280400,301600,291900,305600,199400,177200
Aug 2008,116.6,117.1,115.9,118,119.5,108,279200,299700,289000,305700,200100,178700
Sep 2008,115.8,116.3,110.7,118.1,120.1,109.4,277400,297500,276200,306000,201100,181000
