Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,226000,235600,220100,241900,173700,156500
Feb 2005,99.4,99.5,99.1,99.4,99.5,100.4,224600,234400,218200,240500,172800,157100
Mar 2005,100.4,100.4,100.5,100.2,101.3,100.8,226800,236500,221200,242300,175900,157800
Apr 2005,101,101,100.1,101.2,101,101.2,228200,238000,220300,244800,175400,158400
May 2005,100.4,100.4,99.8,100.4,101,101.7,226800,236500,219600,242900,175400,159100
Jun 2005,101.2,101.4,99.8,101.8,100.9,102.1,228800,238800,219600,246300,175300,159800
Jul 2005,101.8,101.9,101.2,102,101.8,101.4,230000,240100,222700,246800,176800,158700
Aug 2005,102.1,102.3,102.3,102.1,102.8,100.7,230700,241000,225200,247000,178500,157600
Sep 2005,102.2,102.4,101.1,102.6,102,100,231000,241300,222600,248300,177100,156500
Oct 2005,103.5,103.8,102.7,104.1,103.6,100.8,233900,244500,226100,251800,180000,157700
Nov 2005,104.1,104.2,104.1,104,105.1,101.6,235200,245400,229200,251500,182500,159000
Dec 2005,104.8,104.9,104.5,104.9,104.7,102.4,236900,247200,229900,253700,181800,160300
Jan 2006,105.8,105.9,103.9,106.6,105,103.3,239000,249500,228700,257800,182400,161600
Feb 2006,105.6,105.6,105.6,105.5,106.6,104.1,238700,248900,232400,255200,185200,162900
Mar 2006,106.3,106.5,106,106.5,105.8,104.9,240200,250900,233200,257600,183700,164200
Apr 2006,106.7,106.8,106.5,106.8,106.6,105.8,241200,251700,234400,258300,185100,165600
May 2006,107.6,107.9,107,108,106.6,106.7,243200,254100,235500,261200,185200,167000
Jun 2006,108,108.1,107.6,108.1,108.1,107.6,244000,254700,236800,261600,187700,168400
Jul 2006,107.8,108,107.2,108.1,107.9,105.2,243600,254400,235900,261400,187500,164700
Aug 2006,107.7,108,107.4,108,108.9,103,243500,254400,236400,261300,189100,161200
Sep 2006,109.2,109.3,108.6,109.4,109.8,100.8,246800,257600,239100,264600,190700,157700
Oct 2006,108.1,108.1,107,108.4,111.1,102.9,244200,254600,235500,262200,193000,161100
Nov 2006,110.4,110.5,109.1,110.8,111.8,105.2,249500,260300,240100,268000,194200,164700
Dec 2006,111,111,109.2,111.4,112.2,107.5,250900,261400,240300,269400,194900,168300
Jan 2007,110.8,111.1,111.5,110.9,109.6,108.2,250500,261800,245400,268300,190300,169300
Feb 2007,112.1,112.3,111.8,112.3,112.4,108.8,253400,264500,246100,271700,195200,170300
Mar 2007,112,111.7,110.4,112.1,115.1,109.5,253100,263200,243000,271100,200000,171300
Apr 2007,112.3,112.3,110.9,112.6,112.6,111,253700,264600,244200,272400,195500,173700
May 2007,113.6,113.6,112.4,113.8,115.3,112.5,256800,267600,247500,275300,200200,176100
Jun 2007,113.7,113.7,113,113.8,114.2,114.1,256900,267900,248700,275400,198400,178600
Jul 2007,115,114.9,114.2,115,116.2,116.4,259800,270800,251300,278300,201800,182200
Aug 2007,115.6,115.1,114.1,115.3,121.1,118.7,261200,271200,251200,278900,210300,185800
