Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,158500,158400,165100,153200,167800
Feb 2005,99.6,99.6,99.5,99.9,100,157900,157800,164200,153000,167800
Mar 2005,99.4,99.4,99.1,99.3,100,157600,157500,163600,152100,167800
Apr 2005,99.3,99.3,98.9,99.7,100,157400,157300,163300,152700,167800
May 2005,99.2,99.3,98.9,99.6,100,157300,157300,163300,152600,167800
Jun 2005,99.5,99.5,99,99.7,100,157700,157600,163400,152800,167800
Jul 2005,99.7,99.7,99.2,100.2,100,158000,157900,163800,153500,167800
Aug 2005,100.2,100.3,99.5,100.9,100,158800,158800,164200,154600,167800
Sep 2005,100.8,100.8,100.1,101.7,100,159700,159700,165200,155800,167800
Oct 2005,101.9,101.9,101.2,102.5,100,161500,161400,167100,157100,167800
Nov 2005,103,103,102.7,103.3,100,163200,163200,169600,158300,167800
Dec 2005,103.6,103.6,104.2,104.2,100,164200,164100,172000,159700,167800
Jan 2006,104.6,104.7,103.8,105.5,96.5,165800,165800,171400,161600,161900
Feb 2006,105,105.1,103.3,106.8,93.1,166500,166500,170500,163600,156300
Mar 2006,105.6,105.7,103,107.5,89.9,167400,167500,170000,164700,150800
Apr 2006,105.2,105.4,103,107.4,86.8,166800,166900,170000,164500,145600
May 2006,104.9,105.1,103.3,106.7,83.7,166300,166500,170500,163400,140500
Jun 2006,104.9,105.2,103.5,106.3,80.8,166300,166600,170900,162800,135600
Jul 2006,105.7,105.9,104.9,106.9,83.8,167600,167800,173200,163700,140700
Aug 2006,106.8,107,106.4,107.6,87,169300,169500,175600,164800,146000
Sep 2006,107.9,108,108,108.4,90.3,171100,171100,178300,166100,151500
Oct 2006,107.6,107.6,106.5,108.7,93.7,170500,170500,175900,166600,157300
Nov 2006,107.2,107.3,105.3,109,97.3,169900,169900,173800,167000,163200
Dec 2006,106.3,106.4,104,109.4,101,168500,168500,171700,167600,169400
