Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
Jan 2005,100,100,100,100,199300,199300,196600,204000
Feb 2005,101.7,101.7,102.6,100,202600,202600,201700,204100
Mar 2005,101.8,101.8,102.7,100,202800,202800,202000,203900
Apr 2005,100,100,100.4,99.6,199300,199300,197300,203100
May 2005,101.1,101.1,102.3,99.1,201500,201500,201100,202200
Jun 2005,101.8,101.8,103.6,98.6,202800,202800,203700,201100
Jul 2005,98.6,98.6,99.1,97.9,196500,196500,194800,199800
Aug 2005,101,101,103.2,97.3,201300,201300,202800,198500
Sep 2005,99.9,99.9,101.8,97.3,199100,199100,200100,198400
Oct 2005,97.5,97.5,98,96.9,194400,194400,192600,197700
Nov 2005,99.3,99.3,100.7,97.1,198000,198000,197900,198100
Dec 2005,99.4,99.4,100.6,97.2,198100,198100,197700,198300
Jan 2006,103.8,103.8,106.2,99.6,206800,206800,208800,203100
Feb 2006,103,103,103.9,101.5,205200,205200,204200,207000
Mar 2006,106.2,106.2,107.8,103.3,211600,211600,211900,210800
Apr 2006,105.4,105.4,106.7,103.1,210000,210000,209700,210300
May 2006,107.4,107.4,110,102.8,214000,214000,216200,209800
Jun 2006,103.1,103.1,103.6,102.4,205500,205500,203700,208900
Jul 2006,105.9,105.9,107.7,102.9,211000,211000,211700,209900
Aug 2006,104.8,104.8,105.8,103.3,208900,208900,208100,210800
Sep 2006,105.6,105.6,106.8,104.4,210500,210500,210000,213000
Oct 2006,106,106,106.5,105.5,211300,211300,209300,215200
Nov 2006,105.9,105.9,105.3,107.2,211000,211000,207000,218600
Dec 2006,105.3,105.3,103.1,108.8,209900,209900,202700,221900
Jan 2007,107.2,107.2,106.5,108.4,213600,213600,209400,221100
Feb 2007,105.4,105.4,104.2,107.5,210000,210000,204900,219200
Mar 2007,104.9,104.9,104.2,106.4,209000,209000,204900,217100
Apr 2007,107.2,107.2,107.9,106.3,213700,213700,212100,216800
May 2007,105.2,105.2,104.8,106.2,209600,209600,206100,216600
Jun 2007,107.1,107.1,107.8,106,213400,213400,211900,216200
Jul 2007,109.9,109.9,111.5,107.4,219100,219100,219300,219000
Aug 2007,107.8,107.8,107.7,108.3,214900,214900,211700,221000
Sep 2007,108,108,107.1,110.3,215300,215300,210600,225100
Oct 2007,109.6,109.6,110.4,108.5,218400,218400,217000,221300
Nov 2007,108.7,108.7,109.6,107.3,216600,216600,215500,218800
Dec 2007,110.1,110.1,111.9,106.2,219400,219400,219900,216700
Jan 2008,109.8,109.8,110.8,108.1,218800,218800,217800,220600
Feb 2008,112.9,112.9,114.8,109.3,225000,225000,225700,223000
Mar 2008,109.7,109.7,109.5,110.5,218700,218700,215300,225400
Apr 2008,113.9,113.9,115.6,111.2,227100,227100,227300,226800
May 2008,111.2,111.2,111.1,111.6,221600,221600,218400,227700
Jun 2008,112.3,112.3,112.1,113.1,223900,223900,220400,230800
Jul 2008,108.8,108.8,107.2,111.9,216800,216800,210800,228200
Aug 2008,110.4,110.4,110.6,110.3,220000,220000,217400,225000
Sep 2008,110,110,110.5,109.8,219200,219200,217300,223900
Oct 2008,108.3,108.3,108.7,107.9,215800,215800,213700,220200
Nov 2008,108.8,108.8,110.2,106.7,216900,216900,216700,217600
Dec 2008,107.4,107.4,107.6,105.9,214100,214100,211500,216000
Jan 2009,103.3,103.3,101.9,105.7,205800,205800,200300,215600
Feb 2009,105.1,105.1,105.2,104.7,209400,209400,206800,213600
Mar 2009,105.9,105.9,107.5,103.4,211100,211100,211300,211000
Apr 2009,102.1,102.1,101.1,104.2,203400,203400,198800,212600
May 2009,104.7,104.7,104.6,105.4,208600,208600,205600,215000
Jun 2009,108.1,108.1,109.2,106.6,215400,215400,214600,217400
Jul 2009,105.4,105.4,105.6,105.5,210100,210100,207600,215300
Aug 2009,107.9,107.9,110.1,104.4,215100,215100,216500,212900
Sep 2009,109.9,109.9,113.1,104.6,219000,219000,222300,213300
Oct 2009,110.7,110.7,113.4,106.3,220700,220700,223000,216800
Nov 2009,110.1,110.1,111.2,108.6,219500,219500,218600,221600
Dec 2009,116.4,116.4,118.2,112,231900,231900,232400,228500
Jan 2010,111.3,111.3,111.4,111.4,221900,221900,219000,227300
Feb 2010,111.7,111.7,113.4,108.7,222700,222700,222900,221700
Mar 2010,112.9,112.9,113.7,112,225100,225100,223500,228500
Apr 2010,111.8,111.8,112.2,111.7,222900,222900,220600,227900
May 2010,111.7,111.7,112.6,110.6,222600,222600,221400,225700
Jun 2010,110.3,110.3,111,109.5,219900,219900,218300,223300
