Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,204700,204800,182500,229100,146000,170500
Feb 2005,99.4,99.5,102.9,96.8,100,100,203500,203700,187800,221700,146000,170500
Mar 2005,99.7,99.8,101.7,99.4,100,100,204100,204300,185600,227800,146000,170500
Apr 2005,99.7,99.7,101.9,98.5,100,100,204000,204200,185900,225600,146000,170500
May 2005,99.6,99.6,99.6,99.7,100,100,203800,204000,181700,228300,146000,170500
Jun 2005,100.9,100.9,102.6,99.8,100,100,206500,206700,187300,228600,146000,170500
Jul 2005,99,99,99.2,98.9,100,100,202600,202800,181100,226500,146000,170500
Aug 2005,100.8,100.8,100.9,100.9,100,100,206300,206500,184200,231100,146000,170500
Sep 2005,98.9,98.9,101.3,97.3,100,100,202400,202600,184800,223000,146000,170500
Oct 2005,99.1,99.1,104.1,94.7,100,100,202800,203000,189900,216900,146000,170500
Nov 2005,101.4,101.5,103.8,99.5,100,100,207600,207800,189400,228000,146000,170500
Dec 2005,102.5,102.6,101.5,103.1,100,100,209900,210100,185200,236100,146000,170500
Jan 2006,103.6,103.6,103.6,103.6,100,100,212000,212200,189000,237300,146000,170500
Feb 2006,104.9,105,102.1,107.9,100,100,214700,215000,186300,247100,146000,170500
Mar 2006,106.8,106.8,113.1,102.7,100,100,218600,218800,206400,235200,146000,170500
Apr 2006,103.4,103.4,106,101.8,100,100,211600,211800,193500,233300,146000,170500
May 2006,103.1,103.2,105.8,100.9,100,100,211100,211300,193000,231200,146000,170500
Jun 2006,102.8,102.9,105.2,101.2,100,100,210500,210700,192000,231900,146000,170500
Jul 2006,102.3,102.3,108,97.4,100,100,209400,209600,197100,223200,146000,170500
Aug 2006,101.9,102,107.3,97.2,100,100,208600,208800,195900,222700,146000,170500
Sep 2006,104.2,104.2,108.7,100.7,100,100,213200,213400,198300,230700,146000,170500
Oct 2006,104.5,104.6,105.6,103.8,100,100,213900,214200,192800,237700,146000,170500
Nov 2006,101.7,101.8,108.2,96.2,100,100,208200,208500,197400,220500,146000,170500
Dec 2006,100.6,100.7,107.8,94.1,100,100,206000,206300,196800,215600,146000,170500
Jan 2007,103.8,103.9,107.8,100.2,100,100,212500,212800,196800,229600,146000,170500
Feb 2007,103.2,103.2,106.8,100.4,100,100,211200,211400,194900,230000,146000,170500
Mar 2007,101.9,102,106.6,99,100,100,208600,208900,194600,226800,146000,170500
Apr 2007,106.5,106.6,112.8,102,100,100,218000,218300,205800,233700,146000,170500
May 2007,105,105.1,108.8,101.9,100,100,214900,215200,198500,233400,146000,170500
Jun 2007,103.4,103.4,107.9,99.9,100,100,211600,211800,196900,228800,146000,170500
Jul 2007,107.4,107.4,110.2,105.1,100,100,219800,220000,201200,240800,146000,170500
Aug 2007,108.2,108.2,113.3,103.7,100,100,221400,221600,206700,237500,146000,170500
Sep 2007,103.9,103.9,111.1,98.1,100,100,212600,212800,202700,224800,146000,170500
Oct 2007,106.9,107,112.4,102.3,100,100,218800,219100,205100,234300,146000,170500
Nov 2007,109.1,109.2,112.4,106.5,100,100,223400,223700,205100,243900,146000,170500
Dec 2007,109.1,109.2,113.5,105.4,100,100,223400,223700,207100,241400,146000,170500
Jan 2008,110,110.1,116.6,104,100,100,225100,225500,212800,238200,146000,170500
Feb 2008,109.2,109.3,115.7,103.9,100,99.4,223600,223900,211200,238000,146000,169500
Mar 2008,111.4,111.5,116.3,107.9,99.6,99.4,228100,228300,212200,247300,145400,169500
Apr 2008,107.7,107.9,113.5,103.5,98.6,98.3,220500,220900,207100,237200,143900,167600
May 2008,111.3,111.4,116.3,106.6,99.2,98.3,227800,228100,212200,244300,144800,167600
Jun 2008,110.6,110.7,115.8,106.1,99.2,98.3,226400,226700,211400,243100,144800,167600
Jul 2008,110,110.1,115.5,104.9,98.9,98.3,225100,225400,210800,240300,144400,167600
Aug 2008,110.1,110.2,112.7,106.9,98.9,98.3,225300,225700,205700,245000,144400,167600
Sep 2008,111.6,111.8,114,109.3,98.9,97.3,228500,228900,208100,250400,144400,165900
Oct 2008,110.8,111,114.1,107.5,98.9,97.3,226900,227300,208300,246200,144400,165900
Nov 2008,112.4,112.5,113.4,110.2,98.7,96.4,230000,230500,207000,252400,144100,164400
Dec 2008,112,112.2,115.7,107.8,98.7,96.4,229200,229800,211200,247000,144100,164400
Jan 2009,109.6,109.8,115.5,103.4,98.7,96.4,224300,224900,210800,236800,144100,164400
Feb 2009,111.1,111.3,116.5,105.8,98.7,96.8,227400,227900,212600,242500,144100,165000
Mar 2009,108.8,109,112.5,105.1,98.7,96.8,222700,223200,205400,240700,144100,165000
Apr 2009,110.5,110.5,113.4,107.1,98.7,96.8,226100,226400,206900,245400,144100,165000
May 2009,111.2,111.3,115.9,105.9,98.7,96.8,227700,228000,211600,242700,144100,165000
Jun 2009,112.7,112.7,115,109.1,98.7,97.2,230600,230900,209800,250000,144100,165700
Jul 2009,112.9,113,115.4,109,103.8,99.6,231200,231500,210600,249800,151500,169800
Aug 2009,112.6,112.6,113.8,109.2,109.5,101.3,230400,230700,207700,250100,159800,172800
Sep 2009,114.5,114.6,121.8,107.7,115,108.9,234400,234800,222300,246800,167900,185600
Oct 2009,115.4,115.6,123.1,107.8,119.2,111.4,236200,236700,224700,247000,174100,189900
Nov 2009,115.2,115.6,123.1,107.3,126.6,115.5,235900,236800,224600,245900,184800,196900
Dec 2009,115.5,115.8,122.6,108.2,132.6,124,236500,237100,223700,247900,193600,211400
Jan 2010,113.4,113.9,115.3,109.3,119.6,103.8,232100,233300,210500,250300,174600,176900
Feb 2010,116.2,116.8,123.5,109.4,121.5,103.9,237800,239200,225300,250700,177400,177100
Mar 2010,117.5,118.4,124.1,111.7,122.4,97.9,240500,242400,226500,255900,178700,166900
Apr 2010,117.4,118.2,121.7,113,125.1,103.9,240300,242100,222100,258800,182700,177200
May 2010,116.9,117.9,121.8,112.1,130.7,101.6,239300,241400,222300,256800,190800,173200
Jun 2010,118.1,119.1,124.4,112.4,131,115,241700,244000,227100,257600,191200,196000
Jul 2010,118.6,119.8,125.2,113.1,130.2,111.3,242800,245400,228500,259100,190100,189800
Aug 2010,117.5,118.8,126.7,110.1,132,106.2,240600,243400,231200,252300,192700,181000
Sep 2010,118.1,119.5,120.2,116.2,133.1,106.9,241800,244800,219300,266300,194300,182200
Oct 2010,118.6,120.1,123.2,114.3,134.9,111.3,242800,245900,224900,261800,197000,189800
Nov 2010,116.7,118.2,124.3,110.3,128.8,109.7,238800,242100,226900,252600,188100,187000
Dec 2010,118.3,120.1,120.5,116,129.5,110.2,242100,245900,220000,265700,189100,187900
Jan 2011,117.3,118.9,120,113.4,131.9,110.8,240100,243500,219000,259800,192600,188900
Feb 2011,118.1,119.8,122.2,114.6,132.3,110.7,241700,245400,223100,262500,193200,188700
Mar 2011,120.4,122.1,128.4,114.8,138.8,114.3,246400,250100,234300,263000,202600,194900
Apr 2011,121.3,123.3,128.8,115.8,136.1,113,248300,252500,235100,265400,198700,192600
May 2011,122.6,124.9,131.1,116.9,138.1,114.3,251000,255700,239200,267900,201600,194900
Jun 2011,124.2,126.5,132.8,118.5,138.6,122.3,254200,259100,242300,271500,202400,208500
Jul 2011,123.6,126,129,119.8,139.9,120.2,253000,258100,235500,274500,204300,205000
Aug 2011,123.6,126,131.5,118.3,142.5,118,253100,258100,239900,271000,208000,201200
Sep 2011,123.6,126,131.3,119.4,143.1,120.2,253000,258000,239600,273600,208900,204900
Oct 2011,122.6,124.8,123.8,120.9,144.8,120.6,250900,255600,225900,277000,211400,205700
Nov 2011,122.5,124.6,126.7,118.3,148.1,119.8,250700,255100,231200,271000,216200,204200
Dec 2011,127.1,129.7,135.4,122,149.5,122.7,260100,265600,247100,279400,218200,209200
Jan 2012,129.3,132.3,133.6,126,149,118.5,264700,271000,243900,288700,217500,202000
Feb 2012,127.3,130.2,136.5,122.1,147.3,118.4,260500,266700,249200,279800,215000,201900
Mar 2012,124.1,126.7,131.2,120.2,148.9,120.2,254100,259500,239500,275300,217400,205000
Apr 2012,127.5,130.5,136.1,122.6,150.2,121.8,261000,267300,248400,280900,219300,207600
May 2012,127.2,130.3,134.7,123,149.9,122.6,260300,266800,245900,281900,218900,209100
Jun 2012,127.2,130.5,135.2,123.1,150,121.4,260300,267200,246700,282100,219000,207000
Jul 2012,128.5,131.9,137.1,124.2,152.3,121.9,263000,270100,250200,284600,222400,207900
Aug 2012,128.5,132,135.7,125,152.1,121.1,263100,270300,247600,286400,222100,206500
Sep 2012,125.3,128.1,132.3,122,153.3,122.3,256400,262400,241400,279600,223800,208600
Oct 2012,130.2,134,140.1,125.3,155.3,120.3,266600,274400,255700,287100,226800,205100
Nov 2012,130.6,134.2,138.9,125.9,156.5,120,267400,274800,253500,288400,228500,204600
Dec 2012,128.6,132,141.2,122.1,157.5,119.9,263300,270300,257600,279700,230000,204500
Jan 2013,132.1,135.8,142.4,126.7,159,118.5,270500,278200,259800,290200,232100,202100
Feb 2013,128.4,131.5,137.4,123.4,162.1,117.7,262900,269300,250800,282800,236700,200700
Mar 2013,129.3,132.3,140.1,123.7,162.3,120.6,264600,271000,255700,283400,237000,205700
Apr 2013,128.8,131.8,136.7,124.3,161.6,122.2,263600,270000,249500,284800,235900,208400
May 2013,127.4,130.1,133.3,123.5,162.3,123,260800,266400,243300,282900,237000,209800
Jun 2013,127.1,129.6,132.8,123.1,164.9,121.2,260100,265500,242400,282000,240800,206600
Jul 2013,127.1,129.5,136.1,120.9,164.6,122.6,260100,265300,248400,277000,240300,209100
Aug 2013,128.2,130.9,134.7,123.8,164.3,122.1,262500,268000,245800,283600,239900,208200
Sep 2013,130.1,132.9,137.1,126.5,166.6,121.1,266300,272100,250200,289800,243300,206500
Oct 2013,128.2,130.8,138,121.5,166.8,120.7,262500,267900,251900,278300,243500,205800
Nov 2013,134.7,138.3,141.8,130.5,166.4,118.9,275800,283300,258700,299000,242900,202800
Dec 2013,127.8,130.1,133.9,123.3,168.1,122.2,261600,266500,244400,282400,245400,208400
Jan 2014,126.7,128.9,136.1,119.9,171.3,115.5,259400,264000,248400,274800,250100,197000
Feb 2014,130.5,132.8,134.7,126.7,174.4,122.9,267200,271900,245900,290200,254600,209600
Mar 2014,131.6,134.1,138.2,127.2,174.6,122.2,269300,274600,252200,291500,254900,208400
Apr 2014,133,135.5,141.6,127.3,175.6,126.6,272200,277600,258400,291600,256400,215900
May 2014,131.8,134.1,138.7,126.5,176.7,126,269800,274600,253100,289800,258000,214800
Jun 2014,131.7,133.9,139,126.1,176.6,126.6,269600,274200,253600,289000,257900,215800
Jul 2014,132.1,134.7,138.3,127.8,174.3,123.8,270500,275900,252400,292800,254500,211100
Aug 2014,133.5,136.1,138.6,129.8,178,121.1,273300,278800,253000,297300,259900,206500
Sep 2014,132.7,135.1,142,126.8,177.7,123.4,271600,276600,259200,290400,259400,210400
Oct 2014,133.5,136.2,136.6,130.8,175.7,122.5,273200,278900,249300,299600,256500,208900
Nov 2014,132,134.8,137.4,127.7,173.6,119.9,270200,276000,250700,292600,253500,204500
Dec 2014,132.6,135.6,138.1,129.7,173.6,119.8,271500,277800,252100,297200,253400,204300
Jan 2015,134.3,137.5,146.1,127.8,174,121.9,275000,281600,266600,292900,254000,207900
Feb 2015,134.5,137.7,141.3,130.9,173.2,120.1,275300,282100,257900,299800,252900,204700
Mar 2015,133.7,136.9,139.9,130.4,173.4,120.1,273600,280300,255400,298800,253100,204700
Apr 2015,131.9,134.9,140.2,127,173.5,119.8,270100,276300,255900,291000,253300,204200
May 2015,133.8,136.8,142.1,129,173.2,124.6,273800,280200,259400,295500,252800,212500
Jun 2015,133.2,136.2,140.6,128.8,170.5,125.2,272700,279000,256600,295100,249000,213400
Jul 2015,131.8,134,135.8,128.1,176.1,125.7,269700,274500,247900,293400,257100,214400
Aug 2015,132.3,134.6,137.9,127.8,175.7,126.9,270800,275700,251600,292800,256500,216400
Sep 2015,134.5,137.3,139,131.7,175.3,127.5,275300,281100,253700,301800,256000,217400
Oct 2015,136.3,139.2,143.6,131.3,176.7,128.1,279000,285000,262000,300900,258000,218400
Nov 2015,134.6,137.1,142.2,129.1,179,127.3,275600,280800,259500,295700,261400,217100
Dec 2015,132.9,135.3,141.6,127.1,178.4,125.3,272100,277000,258500,291300,260400,213600
Jan 2016,130.3,132.4,137.1,125.6,174.5,126,266700,271100,250200,287700,254700,214800
Feb 2016,132.3,134.7,139.6,127.1,173.4,130,270800,275900,254800,291300,253100,221700
Mar 2016,132.3,134.6,137.2,128.5,174.2,129,270800,275700,250300,294300,254400,220000
Apr 2016,136.1,139.1,140.7,133.3,175.6,126.9,278600,284800,256800,305300,256400,216300
May 2016,136.3,139.2,142.7,132.6,176.7,124.6,279000,285100,260400,303900,258000,212400
Jun 2016,135.2,138,141.9,131.4,175.7,124,276800,282700,258900,301000,256500,211500
Jul 2016,138.2,141.2,147.1,133.3,178.5,125.7,282900,289200,268400,305400,260600,214300
Aug 2016,137.5,140.5,146.3,132.3,177.9,127.3,281500,287700,267000,303200,259700,217000
Sep 2016,136.1,138.4,146.7,129.2,178.4,131.8,278500,283500,267700,296000,260500,224800
Oct 2016,136.6,139.3,144.5,131.6,177.5,127.8,279600,285200,263700,301400,259100,217900
Nov 2016,138,140.5,143.3,135,179.2,132.8,282400,287800,261600,309300,261700,226400
Dec 2016,141,143.8,148.3,137.3,182.6,134.4,288600,294600,270600,314600,266600,229100
Jan 2017,141.3,144,147.6,138.6,180.8,136,289200,295000,269400,317600,263900,231800
Feb 2017,142,145.1,148.7,138.9,181.6,133,290700,297200,271400,318200,265100,226800
Mar 2017,145,148.5,153.5,141.1,182.8,130.6,296800,304200,280200,323300,266900,222700
Apr 2017,143.1,146.1,151.2,138.5,185.4,128.6,292900,299300,276000,317400,270700,219200
May 2017,145.1,148.5,152.8,141.7,186.4,123.9,297000,304100,278900,324700,272100,211300
Jun 2017,147.4,150.9,157.5,142.6,188.6,121.1,301700,309100,287400,326600,275300,206400
Jul 2017,145.8,149,153.8,141.9,187.7,125.7,298400,305200,280700,325100,274000,214300
Aug 2017,149.2,152.8,159,144.2,190.8,124.6,305500,312900,290100,330400,278500,212500
Sep 2017,147.9,151.2,158.3,142.4,191.7,126.2,302800,309600,288900,326300,279900,215100
Oct 2017,149.2,152.4,160.6,142.7,192.9,127,305500,312200,293100,327000,281700,216600
Nov 2017,151.4,154.9,161.3,147.5,192.5,131,310000,317200,294400,337900,281000,223300
Dec 2017,158.2,162.5,163.7,158,193,133.2,323900,332700,298700,362000,281800,227100
Jan 2018,160.9,164.7,162.8,162.9,199.9,137.7,329300,337400,297200,373200,291900,234800
Feb 2018,155.5,158.9,165.7,150.4,195.9,140.6,318400,325400,302400,344600,286000,239800
Mar 2018,154.4,157.4,166.2,147.6,194.5,142.8,316000,322400,303400,338200,283900,243400
Apr 2018,155.3,158.5,163,151.5,194.9,141.1,317900,324600,297400,347000,284500,240500
May 2018,157.3,160.5,170.6,150,196.9,141.8,322000,328700,311400,343600,287500,241700
Jun 2018,161.2,164.8,171.6,156.7,199.4,141.4,330000,337500,313200,358900,291100,241100
Jul 2018,161.2,164.9,174,155.1,199.2,139.1,330000,337800,317600,355400,290900,237100
Aug 2018,159.8,163.1,175,151,202.2,141.2,327200,334100,319300,346000,295200,240700
Sep 2018,164.7,168.4,174.8,160.6,203.6,146,337200,344800,319100,367900,297300,249000
Oct 2018,165.6,169,174.5,161.8,208.1,149.5,339000,346200,318400,370700,303800,254900
Nov 2018,168.1,171.9,186.7,159.2,209.8,148.9,344200,352000,340800,364800,306300,253800
Dec 2018,167.2,170.6,181.2,160.5,211.2,151.3,342200,349400,330600,367800,308400,257900
Jan 2019,167.3,170.4,179.5,161.8,214,152.8,342500,348900,327600,370700,312400,260600
Feb 2019,166.9,169.6,180.9,158.7,216.6,157.7,341600,347400,330100,363500,316300,268800
Mar 2019,169.1,171.8,183,160.5,221.3,159.5,346200,351900,333900,367600,323100,271900
Apr 2019,173.4,176.6,187.1,165.3,219.4,162.8,354900,361700,341500,378600,320300,277500
May 2019,171.8,174.7,182.5,165.9,221.2,161.1,351600,357800,333100,380100,322900,274600
Jun 2019,171.7,174.5,185.5,163.1,223.2,160.9,351400,357300,338600,373700,325900,274400
Jul 2019,177.2,180.5,190.8,169.4,224.3,166,362800,369700,348300,388100,327500,283100
Aug 2019,177.7,181,187.5,172.5,226.7,166,363800,370600,342100,395300,331000,283100
Sep 2019,180.9,184.8,191.1,176.8,225.3,164.6,370300,378400,348700,405000,328900,280700
Oct 2019,181.1,184.7,192.9,175.3,230.7,165.7,370700,378200,352100,401500,336800,282500
Nov 2019,182.5,185.7,194.4,177.5,235.8,169.7,373500,380300,354800,406600,344300,289300
Dec 2019,180.9,183.7,194.9,172.9,238.2,171.9,370300,376300,355700,396100,347700,293100
Jan 2020,180.9,183.3,195.9,172,242.9,172.4,370400,375500,357500,394000,354600,294000
Feb 2020,182.1,184.7,196.1,173.5,245.3,171.2,372800,378200,357800,397500,358100,291900
