Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,201900,217200,210900,218800,148500,120400
Feb 2005,101.5,101.5,102.1,101.3,100.9,101.4,204900,220400,215300,221700,149800,122100
Mar 2005,102.3,102.3,104.3,101.7,101.8,101.3,206500,222100,220000,222500,151200,122000
Apr 2005,103.3,103.3,102.7,103.4,102.7,103.5,208600,224300,216600,226300,152500,124600
May 2005,102.3,102.5,103.8,102.1,103.6,99.8,206600,222600,219000,223400,153900,120200
Jun 2005,103.2,103.2,103.9,103.1,104.6,103.8,208300,224200,219200,225600,155300,125000
Jul 2005,104.9,105.2,105.1,105.4,103.8,102.7,211700,228500,221700,230600,154100,123600
Aug 2005,103.7,103.7,105.4,103.3,103,104.1,209400,225300,222300,226100,152900,125300
Sep 2005,105.2,105.1,107.4,104.6,102.2,108.5,212400,228300,226600,228800,151700,130600
Oct 2005,105.8,106,108.3,105.4,103.5,104.2,213600,230200,228500,230700,153700,125400
Nov 2005,105.9,106,106.4,105.9,104.9,105.6,213800,230200,224400,231600,155800,127100
Dec 2005,107.3,107.8,108.3,107.7,106.3,99.6,216600,234100,228500,235700,157800,119900
Jan 2006,107.6,107.7,108.8,107.5,106.4,106.2,217300,233900,229500,235200,158000,127900
Feb 2006,108.4,108.5,109.1,108.3,106.5,106.9,218800,235600,230000,237000,158200,128700
Mar 2006,109,109.1,107.9,109.3,106.7,107,220000,237000,227600,239200,158400,128800
Apr 2006,110.2,110.5,110.7,110.4,106.9,107.1,222500,239900,233500,241600,158800,129000
May 2006,111.1,111.4,112,111.3,107.2,109,224400,242000,236300,243500,159200,131200
Jun 2006,110.9,110.9,111.2,110.8,107.5,114.2,223900,240800,234600,242400,159600,137500
Jul 2006,110.8,111,112.6,110.9,107.9,110,223700,241200,237400,242700,160300,132400
Aug 2006,111.5,111.9,113.6,111.6,108.4,108.7,225200,243100,239500,244100,161000,130900
Sep 2006,111.2,111.7,111.8,111.8,109,108.3,224600,242600,235800,244600,161800,130400
Oct 2006,112,112.3,110.7,112.7,108.8,109.9,226200,244000,233400,246500,161600,132300
Nov 2006,111.2,111.3,111.9,111.2,108.7,111.8,224600,241700,236000,243200,161400,134600
Dec 2006,111.8,111.9,111.1,112.2,108.6,109.9,225700,243000,234300,245400,161200,132300
Jan 2007,113.5,113.5,114.5,113.3,109.2,113.5,229200,246600,241400,248000,162200,136600
Feb 2007,113.4,113.5,113.8,113.5,109.8,112.7,229000,246600,240000,248400,163100,135700
Mar 2007,114,114,114.5,113.8,110.5,113.5,230200,247700,241500,249100,164100,136600
Apr 2007,114.2,114.3,114.8,114.2,110.6,112.1,230500,248300,242100,249900,164300,135000
May 2007,114.7,114.7,114.7,114.7,110.8,115.6,231500,249100,242000,251000,164500,139200
Jun 2007,115,115.3,115.9,115.1,110.9,115.1,232200,250400,244400,251900,164700,138600
Jul 2007,115.6,115.8,115.7,116,113,115.7,233300,251500,244000,253700,167800,139300
Aug 2007,117.8,118,117.8,118.1,115.2,116.7,237800,256400,248400,258500,171000,140500
Sep 2007,118.5,118.8,118.3,119.2,117.4,117.4,239200,258000,249400,260800,174300,141300
Oct 2007,119,118.9,119.7,118.6,117.2,120.3,240200,258200,252500,259400,174100,144900
Nov 2007,120.8,121.2,121.7,121.1,117.2,117.8,243900,263300,256700,265000,174000,141800
Dec 2007,121.3,121.2,123.7,120.7,117,121.3,244900,263300,260900,264000,173800,146000
Jan 2008,122.2,122.3,120.9,122.8,117.2,121.1,246800,265700,255000,268700,174100,145800
Feb 2008,123.3,123.6,122.8,123.8,117.4,122.6,248900,268400,258900,270900,174400,147600
Mar 2008,123.1,123.5,122.7,123.7,117.8,120.3,248600,268300,258800,270600,174900,144800
Apr 2008,123,123.2,124.1,123,120.5,122.3,248400,267600,261800,269100,178900,147300
May 2008,123.8,124.3,123.9,124.5,122.8,123.1,250000,270000,261200,272400,182300,148200
Jun 2008,123.8,124,125.8,123.6,124.8,126.2,250000,269400,265300,270500,185400,152000
Jul 2008,123.4,123.6,123,123.8,125.1,126.2,249200,268400,259500,270900,185700,152000
Aug 2008,123.6,123.7,122.7,124.1,125.3,125.7,249600,268700,258700,271500,186100,151400
Sep 2008,124.5,124.8,125.2,125.1,125.6,127.9,251400,271000,264000,273800,186500,154000
Oct 2008,123.8,124.4,124.2,124.3,127,121.3,250000,270300,262000,272000,188600,146100
Nov 2008,124.9,125.2,124,125.5,128.2,125.7,252100,271900,261600,274700,190400,151400
Dec 2008,123.8,124.1,122.9,124.5,129.4,120.4,249900,269600,259300,272500,192100,145000
Jan 2009,121.8,122.6,123.8,122.3,127.5,114.9,245900,266200,261000,267600,189400,138300
Feb 2009,121.7,122.3,122.1,122.3,126.1,118.3,245700,265600,257600,267700,187200,142400
Mar 2009,122.3,122.7,122.4,122.6,124.2,121.6,247000,266400,258200,268300,184500,146400
Apr 2009,122,122.2,121.7,122.4,125.4,121.5,246300,265400,256600,267900,186200,146300
May 2009,122.6,122.6,121.1,123.1,126.8,126.7,247600,266300,255400,269400,188300,152500
Jun 2009,124,124.4,122.4,125.1,128.3,124.8,250400,270300,258200,273700,190500,150200
Jul 2009,125.7,126,125.4,126.3,129,129.1,253800,273700,264400,276400,191600,155400
Aug 2009,126.8,127.3,125.4,127.9,129.5,128.6,256000,276500,264500,279900,192300,154800
Sep 2009,125.6,126.2,125.3,127,129.8,128.9,253600,274000,264200,277800,192700,155200
Oct 2009,129.9,130.8,130.3,130.7,130.1,129.9,262200,284000,274700,285900,193200,156400
Nov 2009,128.9,129.2,128.7,129.4,131.1,134.7,260300,280700,271500,283200,194700,162200
Dec 2009,129.6,130,130.1,130.1,132.1,130.4,261600,282400,274400,284600,196100,157000
Jan 2010,130.9,131.4,131.3,131.6,136.2,130.5,264200,285500,276900,287900,202300,157100
Feb 2010,131.9,132.3,131.5,132.5,135.3,138.4,266400,287300,277300,289900,200900,166600
Mar 2010,130.9,131.5,127.5,132.5,129.2,134.9,264200,285600,268900,289900,191800,162400
Apr 2010,132.4,133.4,131.4,134,130.6,134.3,267400,289800,277100,293300,194000,161700
May 2010,133,133.7,133.8,133.9,134.7,138.5,268500,290500,282200,292900,200100,166800
Jun 2010,133.3,134,131.1,135,140.5,138.2,269100,291100,276400,295300,208600,166400
Jul 2010,133.8,134.6,131.4,135.6,143.5,137.5,270100,292300,277200,296800,213100,165500
Aug 2010,131.5,132,130.8,132.5,141.3,136.8,265400,286800,275900,290000,209900,164700
Sep 2010,132.1,133.1,136,132.9,137.7,137.6,266700,289000,286800,290700,204500,165700
Oct 2010,132.6,133.3,130.2,134,141.9,136.1,267700,289600,274500,293300,210700,163900
Nov 2010,131.3,132.6,130.6,133.1,138.9,132.7,265100,287900,275400,291300,206200,159800
Dec 2010,133.4,134.9,131.9,135.8,137.8,130.6,269300,292900,278100,297100,204700,157300
Jan 2011,133.7,135.1,131.3,136.2,133.8,135.7,269900,293400,276900,298100,198700,163400
Feb 2011,133.6,134.9,134.6,135.1,133.7,137.7,269700,293100,283800,295600,198500,165800
Mar 2011,135.1,136.6,132.6,137.6,135.2,138.3,272800,296600,279600,301000,200700,166500
Apr 2011,135,136.5,134.2,137.2,135.1,137.1,272500,296500,283000,300300,200600,165100
May 2011,134.6,136,135.4,136.3,136.6,139.1,271800,295300,285500,298200,202800,167500
Jun 2011,134.7,136,134.5,136.6,139.1,138.5,272000,295500,283600,298900,206600,166700
Jul 2011,134.8,136.2,137.9,135.9,136.2,141.3,272200,295800,290900,297300,202300,170100
Aug 2011,136.2,137.7,138.7,137.6,134.3,143.4,274900,299100,292500,301000,199400,172600
Sep 2011,135.5,136.7,137.6,137,135.6,145.8,273600,296900,290100,299800,201300,175500
Oct 2011,135,136.5,137,136.3,133.8,139.3,272600,296500,289000,298200,198700,167700
Nov 2011,136.5,137.9,137.6,138,134.4,144,275600,299600,290300,302000,199600,173400
Dec 2011,136.6,137.9,138.5,137.9,134,139.2,275700,299600,292000,301700,199000,167600
Jan 2012,136.8,137.7,139.7,137.2,137.8,146.6,276100,299000,294600,300200,204700,176500
Feb 2012,136.7,137.8,138.5,137.5,137.4,145.1,275900,299200,292000,300900,204100,174700
Mar 2012,137.3,138.8,141.2,138.1,136.3,143.4,277300,301400,297800,302200,202400,172700
Apr 2012,137.4,138.4,140,138.1,138.9,149,277500,300600,295300,302200,206200,179400
May 2012,138.3,139.4,139.9,139.3,141.5,148.7,279200,302700,295000,304800,210200,179000
Jun 2012,139.2,140.1,141.2,140,143.1,153.1,281100,304300,297700,306300,212500,184300
Jul 2012,139.6,140.5,139.4,141,141.8,154.4,281800,305100,294100,308400,210600,185900
Aug 2012,138.8,139,138.4,139.3,144.6,155.4,280200,301900,291900,304800,214700,187100
Sep 2012,138,138.5,139,138.8,143.5,151.9,278700,300900,293200,303700,213100,182900
Oct 2012,139.7,140.6,139.8,140.9,143.9,145.2,282100,305400,294800,308200,213700,174800
Nov 2012,140.6,141.7,142,141.6,140.3,151.2,283900,307700,299500,309800,208300,182000
Dec 2012,139.2,139.3,140.7,139,136.8,158.2,281100,302600,296700,304100,203200,190500
Jan 2013,140.5,141.9,141.6,142,137.2,150.2,283700,308100,298700,310600,203800,180800
Feb 2013,140.7,141.5,140.2,141.9,140.9,150.4,284100,307400,295600,310500,209200,181100
Mar 2013,142.2,143,142.6,143.2,139.7,156.5,287200,310700,300700,313400,207400,188400
Apr 2013,142.6,143.2,142.1,143.7,139.9,163.7,288000,311100,299700,314400,207800,197100
May 2013,142.8,144,141.3,144.8,138.2,155.5,288400,312800,298000,316900,205300,187200
Jun 2013,142.1,143.3,142.2,143.8,138.4,158.6,287000,311200,300000,314600,205500,190900
Jul 2013,142.9,144.2,142.2,144.8,138.2,157.7,288600,313100,299900,316900,205300,189900
