Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,225600,230700,219600,249200,184900,175100
Feb 2005,99.7,99.6,99.5,100.4,99.6,101.3,224900,229800,218600,250100,184200,177400
Mar 2005,99.4,99.2,99,100.9,99.5,102.6,224300,228800,217300,251400,183900,179700
Apr 2005,98.2,97.8,97.2,100.2,99.2,103.9,221500,225700,213500,249600,183500,182000
May 2005,98.4,98,98,99.5,99,105.3,222000,226200,215200,248000,183100,184400
Jun 2005,98.4,98,98.1,98.8,99.2,106.7,221900,226000,215500,246200,183500,186800
Jul 2005,98.9,98.6,98.3,100.1,98.9,106.9,223100,227400,215800,249500,182800,187100
Aug 2005,99.7,99.5,98.9,101.4,98.8,107,224900,229500,217100,252700,182600,187300
Sep 2005,100.2,100,99,102.4,98.6,107.1,226000,230800,217500,255100,182400,187600
Oct 2005,101.2,101.1,100.3,103.7,98.5,107.2,228400,233200,220200,258400,182200,187700
Nov 2005,101.2,101,99.5,104.7,98.4,107.3,228200,232900,218500,260800,182000,187900
Dec 2005,102.7,102.6,101.5,105.6,98.3,107.4,231800,236800,222900,263100,181800,188000
Jan 2006,104.4,104.4,103.1,106.5,99.3,106.6,235500,240900,226500,265300,183600,186700
Feb 2006,103.5,103.5,101.8,106.9,100.1,105.9,233500,238700,223600,266400,185100,185400
Mar 2006,104.6,104.7,103.9,107.6,101.1,105.1,236000,241500,228100,268200,186900,184100
Apr 2006,105.7,105.8,105,108.3,102.1,106.8,238400,244000,230600,270000,188700,187000
May 2006,106.5,106.5,105.7,109.2,103.1,108.5,240200,245800,232200,272100,190700,190000
Jun 2006,107.4,107.5,106.7,110,104.7,110.2,242300,247900,234300,274000,193500,193000
Jul 2006,107,106.9,106.4,109,104.5,112.2,241400,246700,233600,271700,193300,196400
Aug 2006,106.4,106.2,105.6,108.1,104.8,114.2,240000,244900,231900,269300,193700,200000
Sep 2006,107.1,106.8,107.3,106.7,105,116.3,241600,246400,235700,266000,194100,203700
Oct 2006,106.6,106.5,106.4,107.9,105.2,113.8,240600,245600,233600,269000,194500,199200
Nov 2006,108.5,108.5,109.2,108.8,105.4,111.3,244700,250400,239700,271200,194900,194800
Dec 2006,107.8,107.9,107.6,109.7,105.6,108.9,243300,249000,236300,273400,195200,190600
Jan 2007,109.1,109.2,108.2,110.7,106.1,107.9,246100,252000,237600,275900,196200,188900
Feb 2007,109.6,109.8,109.4,111.4,106.6,106.9,247300,253400,240300,277600,197100,187200
Mar 2007,108.6,108.8,107.8,112.1,107.2,106,245000,251000,236800,279400,198200,185600
Apr 2007,109.9,110.2,109.7,112.3,107.8,107.2,248000,254200,240800,279800,199300,187700
May 2007,109.4,109.5,108.6,112.6,108.5,108.4,246800,252700,238500,280700,200700,189800
Jun 2007,110.4,110.6,110,112.8,110,109.7,249000,255200,241600,281200,203300,192000
Jul 2007,111.4,111.6,111.2,113.4,109.4,110.9,251300,257500,244300,282700,202200,194200
Aug 2007,112.5,112.8,112.9,113.8,109.1,112.2,253800,260300,247900,283500,201700,196500
Sep 2007,112.4,112.7,112.5,113.8,108.9,113.5,253500,259900,247000,283700,201300,198700
Oct 2007,112.6,112.9,112.8,114.4,108.8,113.1,254100,260400,247700,285100,201100,198000
Nov 2007,112.4,112.6,112.1,114.8,108.5,112.7,253600,259700,246200,286000,200700,197300
Dec 2007,113.5,113.8,113.8,115.1,108.3,112.2,256100,262600,250000,286800,200200,196500
Jan 2008,112.9,113,111,115.7,108.1,113.8,254800,260700,243800,288300,199800,199300
Feb 2008,114.5,114.5,114.2,116.3,108.1,115.5,258200,264200,250700,289700,199800,202200
Mar 2008,115.6,115.8,117.1,115.8,107.8,116.5,260900,267200,257100,288500,199300,204000
Apr 2008,114.8,115,114.9,116.2,107.5,116.9,259000,265300,252300,289500,198800,204700
May 2008,115.2,115.4,115.7,116.5,107.8,117.6,260000,266300,254100,290300,199300,206000
Jun 2008,113.9,113.9,112.9,116.8,107.7,118.4,256900,262800,248000,291000,199200,207400
Jul 2008,113.3,113.5,112.1,117,107.1,116.7,255700,261900,246200,291500,198000,204400
Aug 2008,112.8,113,111.2,117,106.6,115.4,254500,260800,244200,291600,197100,202000
Sep 2008,112.8,113.2,111.5,117,106.2,113.9,254500,261100,244800,291600,196300,199400
Oct 2008,111.5,111.9,110.2,116,105.8,112.1,251600,258100,242000,289100,195600,196200
Nov 2008,110.8,111.1,109.7,114.9,105.2,110.3,249900,256400,240900,286300,194600,193200
Dec 2008,109.5,109.8,108.2,113.9,104.4,108.6,247000,253300,237500,283900,193000,190100
Jan 2009,112.3,112.9,112.3,113.2,103.1,108,253400,260400,246700,282000,190700,189100
Feb 2009,110.9,111.3,111.6,112.1,102.1,107.4,250100,256800,245000,279400,188800,188100
Mar 2009,107.8,108,107.8,110.2,101.3,107.1,243100,249100,236800,274600,187300,187500
Apr 2009,109.8,110.4,111.2,109.8,99.9,107.1,247700,254600,244100,273600,184700,187500
May 2009,108.5,108.8,109.1,109.9,99.4,107.3,244700,251100,239600,273900,183800,187800
Jun 2009,109.7,110.1,110.9,109.8,98.9,107.8,247500,254100,243500,273700,182800,188800
Jul 2009,110.5,111.1,111.7,111.2,99.5,109.3,249400,256200,245200,277000,183900,191300
Aug 2009,110.7,111,110.7,112.2,100.2,110.9,249700,256100,243200,279500,185200,194200
Sep 2009,111.7,112.1,111.9,113.5,101.5,112.1,252000,258600,245700,282900,187600,196300
Oct 2009,112.6,113,112.8,114.6,102.3,113.1,254100,260600,247800,285600,189100,198000
Nov 2009,112.5,112.7,111.7,115.7,103.8,114.2,253700,259900,245200,288300,192000,199900
Dec 2009,114,114.3,113.7,116.6,104.2,115.2,257100,263600,249600,290500,192700,201800
Jan 2010,112.6,112.6,113.9,110.1,107,114.8,254000,259800,250200,274400,197900,201100
Feb 2010,111.7,111.7,112.2,112,108.2,113.6,252100,257800,246500,279200,200100,198900
Mar 2010,115.9,116,117.9,115,109.6,117.3,261500,267500,259000,286600,202600,205400
Apr 2010,114.6,114.9,114.3,116.7,108.9,115.4,258600,265000,251100,290800,201400,202000
May 2010,115.4,115.9,114.7,119.3,108.2,114,260400,267300,251900,297300,200000,199600
Jun 2010,114.2,114.7,113.8,116.9,106.4,112.5,257700,264700,249800,291400,196700,196900
Jul 2010,114.5,115.1,115.2,116.4,105.2,112.3,258400,265500,252900,290100,194600,196700
Aug 2010,115.2,115.9,117.2,114.6,106.7,111.6,259800,267300,257400,285700,197300,195400
Sep 2010,114.5,115,114.6,117.1,108,114.4,258400,265200,251700,291700,199700,200300
Oct 2010,116.7,117.4,117.5,119,106.4,112.8,263200,270900,258000,296500,196700,197500
Nov 2010,116,116.8,117.1,117.8,107.6,111.9,261800,269400,257100,293500,199000,196000
Dec 2010,115.7,116.5,117,117,111.3,108.1,261100,268700,256900,291600,205800,189300
Jan 2011,114.6,115.3,114.7,116.5,107.4,107.2,258500,266100,251900,290400,198500,187700
Feb 2011,114.9,115.9,116.3,116.6,106.2,106.1,259300,267300,255300,290500,196300,185800
Mar 2011,113.5,114.1,113.5,117.5,106.5,109.5,256100,263300,249300,292800,196900,191800
