Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,152400,165300,152000,175800,109700,104800
Feb 2005,102.4,102.3,101.4,102.3,100.5,99.2,156000,169100,154200,179800,110200,104000
Mar 2005,101.2,101.5,101.1,101.4,100.5,96.9,154300,167700,153600,178200,110200,101500
Apr 2005,103,102.9,101.6,102.7,103.8,99.1,156900,170100,154400,180500,113900,103900
May 2005,103.7,103.3,102,103.6,103.5,107.2,158000,170800,155100,182100,113500,112300
Jun 2005,103.3,103.2,101.6,103.7,104.4,98.5,157400,170600,154500,182300,114500,103200
Jul 2005,103.9,103.5,102.7,103.6,106.1,103.6,158400,171100,156100,182100,116400,108600
Aug 2005,104.5,103.9,103.8,103.4,106.8,104,159200,171800,157800,181700,117200,109000
Sep 2005,105.3,104.8,104.3,104.8,106,107.3,160500,173300,158500,184200,116300,112500
Oct 2005,105.9,105.3,103.8,105.6,107.5,111.6,161400,174000,157800,185600,117900,117000
Nov 2005,107,106.2,105.5,106.1,109.4,109.5,163100,175500,160400,186500,120000,114800
Dec 2005,107.7,107,106.8,106.6,110,107.9,164200,176900,162300,187400,120700,113100
Jan 2006,107.8,107.1,107.5,106.9,111.6,110.6,164300,177000,163400,187900,122400,115900
Feb 2006,108.4,107.8,108.8,106.5,110.3,106.1,165200,178200,165400,187300,121000,111200
Mar 2006,109.8,109.6,109.4,109.3,112.2,106.8,167400,181100,166300,192100,123100,111900
Apr 2006,108.3,107.6,109.5,105.3,110.9,111.8,165100,177800,166500,185200,121700,117200
May 2006,109.6,109.4,109.5,108.7,109.8,112.7,167100,180800,166400,191100,120400,118100
Jun 2006,110.2,109.3,109.5,108.5,113.3,115.2,167900,180600,166500,190800,124300,120700
Jul 2006,110.1,109.7,110,109.1,110.8,111.1,167800,181400,167200,191800,121600,116400
Aug 2006,110.2,110,108.6,110.3,111.4,107.1,168000,181900,165100,193900,122200,112200
Sep 2006,111,110.5,110.7,109.8,114.6,108.4,169100,182600,168300,193100,125700,113600
Oct 2006,111.2,110.4,111.3,109.3,114.5,114.3,169400,182500,169200,192100,125600,119800
Nov 2006,112.2,112,111.6,111.7,112.8,108.2,171000,185200,169700,196400,123700,113400
Dec 2006,112.3,111.6,112,110.8,116.6,109.7,171200,184500,170300,194700,127900,115000
Jan 2007,112.4,112,112.6,111.5,114.8,113.8,171300,185100,171200,196000,125900,119300
Feb 2007,113.3,112.6,112.6,111.9,116.9,110.3,172600,186100,171100,196800,128200,115600
Mar 2007,114.7,114.2,114.1,113.9,118.3,112.1,174800,188800,173400,200200,129800,117500
Apr 2007,115.1,114.6,114,114.1,116.3,115.2,175400,189500,173300,200600,127600,120700
May 2007,115.5,115,114.3,114.8,118.6,115.5,176000,190100,173800,201900,130100,121000
Jun 2007,116.7,116.3,115.3,116.4,118.4,114.6,177800,192300,175200,204700,129900,120100
Jul 2007,116.5,115.8,115.6,115.5,118.7,119.8,177600,191400,175700,203100,130200,125600
Aug 2007,116.6,115.9,115.9,115.1,118.8,120.3,177700,191600,176200,202400,130300,126100
Sep 2007,118.3,118.1,117,118.3,119,116.5,180300,195200,177800,208000,130500,122100
Oct 2007,117.5,116.9,117.9,115.8,118.6,120.4,179000,193300,179200,203500,130100,126200
Nov 2007,117.7,116.8,118,115.6,121.2,118.6,179400,193100,179300,203200,133000,124300
Dec 2007,119.5,119.5,119,119.2,118.8,115.2,182100,197600,180900,209500,130300,120700
Jan 2008,120.7,120.1,121.7,119,126.7,116.4,184000,198600,185000,209200,139000,122000
Feb 2008,120.5,120.6,119.9,120.3,120.8,112.9,183700,199300,182300,211400,132500,118300
Mar 2008,119.6,119.1,118.8,118.8,120.4,119.5,182200,196800,180500,208800,132100,125200
Apr 2008,121.1,120.8,119.3,120.9,122.8,119.5,184600,199700,181400,212600,134700,125200
May 2008,120.5,120,120,119.4,123.1,120.9,183700,198300,182400,209900,135000,126700
Jun 2008,120.4,119.7,121,118.4,123,120.3,183500,197900,183900,208100,134900,126100
Jul 2008,121.3,120.9,120.7,120.5,123.4,118.5,184800,199900,183400,211900,135400,124200
Aug 2008,121.2,120.8,119.5,120.7,123.2,119.8,184700,199600,181700,212200,135200,125600
Sep 2008,120.5,119.5,119.1,119.3,124,122.2,183600,197600,181000,209700,136000,128100
Oct 2008,121.3,120.3,118.8,120.8,125.5,120.6,184800,198900,180500,212300,137700,126400
Nov 2008,120.7,119.7,118,120.3,125.6,120.9,184000,197800,179400,211400,137800,126700
Dec 2008,118.5,117.6,116.8,117.5,121,118.6,180600,194400,177500,206600,132700,124300
Jan 2009,118.2,117.4,116.3,117.8,121.1,121,180200,194100,176700,207100,132900,126800
Feb 2009,118.3,117.1,115.4,117.6,121.9,120.6,180300,193600,175400,206800,133700,126400
Mar 2009,118.4,117.5,116,118.1,121.5,117.6,180400,194300,176300,207700,133300,123200
Apr 2009,118.9,117.7,117.2,117.3,122.6,123.7,181200,194600,178100,206200,134500,129600
May 2009,119.2,118,117.2,117.9,125.6,119.7,181600,195100,178100,207300,137800,125400
Jun 2009,120.3,119.3,117.6,119.7,123,123,183300,197200,178800,210500,134900,128900
Jul 2009,122,121.1,119,121.7,126.6,124,186000,200100,180900,213900,138900,129900
Aug 2009,123.3,122.1,120.9,122,127.3,128.4,187900,201800,183700,214500,139700,134600
Sep 2009,123.6,122.7,122.2,122.3,128.4,117.8,188300,202900,185800,215000,140800,123500
Oct 2009,124.8,124.7,121.7,125.7,124.6,118.7,190200,206100,185000,220900,136700,124400
Nov 2009,125.7,124.6,124.5,124.1,128.7,125.9,191500,206000,189300,218100,141200,131900
Dec 2009,126.1,124.5,122.5,124.9,131.6,128.1,192200,205800,186200,219600,144400,134300
Jan 2010,127.9,126.8,124.3,127.6,133.8,125.4,194900,209600,189000,224400,146800,131400
Feb 2010,127,125.5,124.3,125.4,133.7,128.1,193600,207400,189000,220500,146700,134300
Mar 2010,127.4,125.9,123.7,126.6,135.8,124.9,194200,208100,188000,222500,149000,130900
Apr 2010,128.1,126.6,125.1,126.7,137.4,125.3,195300,209300,190100,222800,150700,131300
May 2010,128.7,127.3,124,128.6,135.9,125.1,196100,210500,188500,226100,149100,131100
Jun 2010,128.8,127.5,125.5,127.8,137.2,122.2,196300,210700,190800,224600,150500,128100
Jul 2010,126.7,124.6,122.9,124.9,137.6,126.4,193100,205900,186800,219600,151000,132500
Aug 2010,128.7,126.7,124.1,127.4,139.9,127.1,196200,209400,188700,224000,153500,133200
Sep 2010,128.6,127.3,122.9,129.3,135.4,120.8,196000,210500,186800,227300,148500,126600
Oct 2010,128.6,126.5,125.1,126.5,138.2,128.1,196000,209100,190100,222400,151600,134200
Nov 2010,128.2,126.6,124.7,127.1,137.7,120.7,195400,209300,189600,223500,151100,126500
Dec 2010,130.2,128.2,125.5,129,139.8,124.3,198500,211900,190700,226800,153400,130300
Jan 2011,129.3,127.2,125.3,127.5,141.4,124.2,197100,210300,190500,224200,155100,130200
Feb 2011,129.8,127.4,124.9,128.2,143.3,127.9,197800,210600,189900,225400,157200,134000
Mar 2011,130.4,128.1,126.4,128.3,142.3,128.2,198800,211700,192100,225600,156100,134400
Apr 2011,130.3,128,124.9,129,141.5,129.5,198600,211600,189800,226800,155200,135700
May 2011,130.8,128.4,126.1,128.8,141.3,136.5,199300,212300,191700,226400,155000,143000
Jun 2011,130.4,128.6,125.3,129.6,139.7,126.3,198800,212600,190500,227900,153300,132400
Jul 2011,129.9,128,126.2,128.3,139.9,124,198000,211600,191800,225600,153500,129900
Aug 2011,130.2,128.6,126.2,129.1,139.7,121.1,198500,212600,191800,227000,153300,126900
Sep 2011,131.2,129.6,126,130.8,139.6,123.1,200000,214200,191500,229900,153100,129000
Oct 2011,131.6,129.9,126.3,131.2,141.8,118.9,200500,214800,192000,230700,155600,124600
Nov 2011,129.3,127,125.7,127,141.8,122.5,197000,209900,191000,223300,155600,128400
Dec 2011,133.9,132.2,127.2,134.1,142.8,117.7,204100,218500,193400,235700,156700,123300
Jan 2012,131.3,129.6,128.8,129.1,140,119.7,200100,214300,195700,226900,153600,125400
Feb 2012,132.7,131.4,127.2,133.2,140.2,117.2,202300,217200,193300,234100,153800,122800
Mar 2012,133.3,131.9,129.1,132.5,140.1,118.6,203100,218100,196300,232900,153700,124300
Apr 2012,132.4,131,128.1,131.7,139.4,120.4,201800,216600,194700,231600,152900,126200
May 2012,133.4,132.2,129.6,132.7,139.7,124.3,203300,218500,197000,233300,153200,130300
Jun 2012,133.3,131.2,127.4,132.5,144.4,125.9,203200,216900,193700,232900,158400,131900
Jul 2012,134.1,132.6,130.3,133.1,141,122.9,204400,219200,198100,234000,154700,128800
Aug 2012,132.9,131,128.4,131.7,144.1,119.6,202600,216600,195100,231500,158100,125300
Sep 2012,132.7,130.6,128.8,130.7,145.2,124,202300,215800,195800,229700,159300,130000
Oct 2012,133.7,131.3,129.7,131.4,142.9,132.9,203800,217100,197200,231000,156800,139300
Nov 2012,135.4,134.1,131.3,135,140.4,124,206400,221700,199600,237400,154000,129900
Dec 2012,133.9,131.8,131.3,131,143.5,122.2,204100,217900,199500,230300,157400,128100
Jan 2013,134.9,133.4,129.3,134.8,141.8,122,205600,220500,196600,236900,155600,127900
Feb 2013,134.8,133.2,131.8,133.2,142,123.4,205400,220100,200400,234200,155800,129300
Mar 2013,135.8,134.5,130.5,135.9,141.5,120.5,206900,222400,198300,239000,155200,126300
Apr 2013,136.8,135.3,132,136.5,141.7,129.9,208500,223700,200600,240000,155400,136100
May 2013,134.8,133.3,131.4,133.5,139.8,131.7,205400,220300,199800,234700,153400,138000
Jun 2013,135.4,134.1,130.6,135.3,141.7,121.6,206300,221600,198500,237800,155400,127400
Jul 2013,136,134.4,131.5,135.2,144.8,121.9,207300,222100,199900,237600,158800,127700
Aug 2013,136.9,135.8,132.7,136.6,141.8,120.5,208700,224400,201700,240100,155500,126300
Sep 2013,136.5,134.7,133.6,134.6,143.5,129,208100,222700,203000,236700,157400,135200
Oct 2013,137.2,135.5,132.5,136.4,143.9,127.2,209100,224000,201400,239800,157900,133300
Nov 2013,137.7,136.2,131.6,138.3,144,121.9,209800,225200,200000,243100,158000,127700
Dec 2013,137.5,136.3,133.3,137,141.6,120.8,209600,225300,202600,240800,155300,126600
Jan 2014,139.1,137.7,135.1,138.4,141.8,129.6,212000,227700,205300,243300,155500,135800
Feb 2014,140,138.5,138.4,137.9,143,130.7,213300,228900,210400,242400,156900,137000
Mar 2014,138.5,136.6,134.6,136.8,143.8,132.7,211000,225800,204600,240500,157700,139100
Apr 2014,137.7,136.4,134.5,136.6,143.3,125.4,209900,225400,204400,240200,157200,131400
