Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,311500,383000,376200,384300,231200,169200
Feb 2005,99.9,99.7,100.3,99.7,100.4,101.8,311100,382000,377300,383000,232100,172300
Mar 2005,100.1,99.8,100.3,99.7,100.7,103.5,311800,382200,377400,383000,232800,175200
Apr 2005,99.6,99.4,100.8,99.2,100.6,101.6,310300,380600,379300,381300,232600,171900
May 2005,99.8,99.2,100.2,99.1,100.4,106.8,310800,380100,377100,380700,232200,180700
Jun 2005,99.5,99.3,100,99.2,100.3,102.6,310000,380500,376100,381400,231800,173600
Jul 2005,100,99.5,100.2,99.3,100.7,105.7,311400,381000,376800,381700,232800,178800
Aug 2005,100.9,100.8,100.4,100.9,101.2,103.2,314400,386100,377700,387800,233900,174600
Sep 2005,99.9,100.2,100.9,100.1,101.6,101.6,311100,383600,379500,384600,235000,171900
Oct 2005,101.5,101.5,101.1,101.6,101.6,103.7,316300,388600,380300,390300,235000,175500
Nov 2005,104,103.6,101.6,104,101.7,109.2,324000,396700,382100,399800,235100,184700
Dec 2005,103.1,103.4,102,103.7,101.9,104.8,321200,396200,383700,398700,235700,177300
Jan 2006,103.3,103.4,102.9,103.5,102.8,102.8,321700,396100,387000,397800,237600,174000
Feb 2006,103.7,104.1,103.7,104.1,103.7,103.9,323100,398600,390200,400200,239700,175800
Mar 2006,104.4,104.8,105.1,104.8,104.6,104.3,325200,401200,395200,402800,241800,176400
Apr 2006,105.4,105.5,104.1,105.8,105.4,106.2,328300,404200,391500,406500,243600,179700
May 2006,105.2,105.4,104.3,105.6,106.1,107.4,327800,403600,392500,405900,245300,181800
Jun 2006,105.2,105.4,104.2,105.6,106.8,105,327700,403500,392000,405900,246900,177700
Jul 2006,105.9,106.6,104.4,107,106.8,103.8,329900,408100,392800,411200,247000,175600
Aug 2006,106.3,106.3,104.7,106.6,106.8,107.2,331000,407100,393800,409700,247000,181400
Sep 2006,106.8,107.3,105.2,107.7,106.9,109,332600,410900,395900,414000,247100,184400
Oct 2006,106.7,107.2,105.6,107.6,107.1,104.7,332400,410600,397200,413400,247500,177200
Nov 2006,106.7,107,106.2,107.3,107.2,103.3,332500,410000,399700,412200,247900,174700
Dec 2006,107.6,107.7,106.9,107.9,107.7,109.1,335300,412600,402100,414800,248900,184600
Jan 2007,107.9,108.5,106.9,108.8,108.2,103.5,336100,415500,402300,418000,250200,175100
Feb 2007,108.5,109.1,107,109.5,108.9,107.2,338100,417800,402500,420900,251700,181300
Mar 2007,109.1,109.4,107.3,109.9,109.5,109.2,339800,418900,403800,422200,253200,184700
Apr 2007,109.3,109.8,108.4,110.1,109.7,106.7,340400,420700,407800,423100,253700,180600
May 2007,110.9,111.5,110.5,111.7,110.1,111.9,345300,426900,415600,429300,254500,189400
Jun 2007,111.9,112.7,112.3,112.8,110.3,112.4,348700,431600,422500,433400,255000,190200
Jul 2007,112.4,113,112.8,113,111.3,113.2,350100,432600,424500,434200,257400,191500
Aug 2007,112.6,113.6,113.3,113.7,112.2,108.9,350900,435200,426100,437000,259500,184300
Sep 2007,114.5,115.4,114.2,115.6,113,115.7,356600,441800,429800,444400,261300,195800
Oct 2007,114.8,115.5,115.1,115.6,114.4,112.2,357500,442400,433000,444200,264400,189900
Nov 2007,115.7,116.3,116.6,116.3,115.7,111.9,360500,445500,438600,446900,267400,189300
Dec 2007,116.3,117.2,118.1,117.1,117.2,111.1,362300,448700,444200,449900,271000,188000
Jan 2008,116.4,117,117.7,116.8,116.5,113,362700,448200,442800,449000,269300,191200
Feb 2008,116.6,117.7,117.6,117.8,115.9,116.5,363300,450900,442300,452600,267900,197100
Mar 2008,116.9,118.4,116.7,118.7,115.1,113.5,364000,453400,438900,456200,266200,192100
Apr 2008,117,118,116.9,118.3,115,117.4,364500,451800,439600,454700,265900,198600
May 2008,115.8,117,115.6,117.4,115.5,116,360700,448200,434800,451000,267100,196300
Jun 2008,115.9,116.7,115.4,116.9,115.7,118.8,360900,446800,434100,449400,267400,201000
Jul 2008,115.7,116.5,115.4,116.8,115.8,118.3,360400,446300,434100,448900,267700,200200
Aug 2008,114.2,115.1,114.9,115.3,115.7,114.8,355800,441000,432100,443000,267400,194200
Sep 2008,113.8,114.8,115.1,114.8,114.9,115.2,354400,439800,432900,441300,265700,194900
Oct 2008,113,113.4,112.2,113.7,114.9,117,352000,434300,422200,436800,265600,197900
Nov 2008,111.2,111.7,110.3,112,114.4,112.8,346500,427800,415000,430500,264600,190900
Dec 2008,110.2,110.8,108.4,111.4,114.3,108.6,343400,424500,407800,428300,264300,183800
Jan 2009,111.3,111.5,108.1,112,114,113.9,346700,426900,406800,430600,263500,192700
Feb 2009,110.5,110.2,108.4,110.5,113.7,119.1,344100,421900,407900,424800,262900,201500
Mar 2009,108.9,109.1,108.5,109.3,113.2,112.2,339200,417700,408200,420100,261800,189800
Apr 2009,109.7,110.4,109,110.7,112.5,109.3,341600,423000,410000,425400,260000,184900
May 2009,111.9,112.6,110.2,113.1,112.6,115.7,348500,431100,414400,434600,260300,195700
Jun 2009,113.8,115,112,115.7,112,118.4,354600,440600,421400,444800,258900,200300
