Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,175100,177300,167300,185900,158200,136300
Feb 2005,99.9,99.8,98.2,101,100.1,101,174900,177000,164300,187700,158400,137600
Mar 2005,100.1,99.9,99.5,100.4,100.3,101.9,175200,177200,166500,186700,158700,138900
Apr 2005,100.5,100.5,100.6,100.2,99.7,102.9,176000,178200,168300,186300,157700,140200
May 2005,100.6,100.6,100.8,100.3,99.2,103.8,176100,178300,168700,186400,156900,141500
Jun 2005,100.7,100.8,101,100.8,98.5,104.8,176400,178800,168900,187400,155900,142800
Jul 2005,101.4,101.5,102.3,100.9,99.6,103.2,177600,179900,171100,187500,157500,140600
Aug 2005,101.3,101.2,101.5,101.2,100.6,101.5,177300,179500,169800,188200,159100,138400
Sep 2005,103,103.2,102.6,103.4,101.7,100,180400,183000,171700,192300,160900,136300
Oct 2005,102.2,102.3,102.3,102.5,102.1,101.5,179000,181300,171100,190600,161500,138400
Nov 2005,103.3,103.4,103.7,103.6,102.4,103.2,180900,183300,173500,192500,162000,140600
Dec 2005,104.3,104.4,103.7,105.4,102.8,104.7,182700,185100,173500,196000,162600,142700
Jan 2006,104.9,105,104.1,105.6,102.1,103.4,183700,186200,174200,196400,161500,140900
Feb 2006,105.1,105.4,105.6,105.1,101.4,102.1,184000,186800,176600,195400,160400,139100
Mar 2006,106,106.4,105.9,106.9,100.9,100.7,185600,188600,177100,198700,159600,137300
Apr 2006,106.2,106.5,105.9,106.8,101.3,101.2,185900,188900,177100,198600,160300,137900
May 2006,106.4,106.7,107.1,106.3,102.1,101.6,186300,189200,179100,197600,161500,138500
Jun 2006,106.7,107.1,106.4,107.5,102.7,102.1,186900,189800,178000,199900,162500,139100
Jul 2006,106.8,107.1,106.9,107.2,103.6,102.5,187000,189900,178900,199200,163900,139700
