Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA
Jan 2005,100,100,100,100,100,209500,210400,208200,212500,189100
Feb 2005,99.7,99.6,99.4,99.7,101.6,208900,209600,206900,211900,192100
Mar 2005,99.3,99.1,98.9,99.4,103.2,208100,208600,205900,211300,195100
Apr 2005,98.5,98.2,98.4,98.2,104.8,206400,206700,204900,208600,198100
May 2005,97.7,97.2,98,96.9,106.4,204600,204600,204000,205900,201200
Jun 2005,96.8,96.2,97.6,95.2,108.1,202800,202500,203300,202300,204400
Jul 2005,98.4,97.9,98.7,97.4,109.8,206200,206000,205500,207000,207600
Aug 2005,100,99.6,99.9,99.3,111.5,209500,209500,207900,211100,210900
Sep 2005,101.5,101.1,101.2,101.2,113.3,212700,212700,210700,215100,214200
Oct 2005,101.8,101.3,100,102.8,115,213300,213100,208300,218500,217500
Nov 2005,102,101.4,99.1,104.2,116.8,213600,213400,206300,221500,220900
Dec 2005,102.3,101.7,98.1,106.3,118.7,214300,214000,204300,225900,224400
Jan 2006,102.9,102.4,100.7,104.3,114.8,215500,215500,209700,221700,217000
Feb 2006,103.4,103.1,103,103.1,111,216700,217000,214500,219100,209900
Mar 2006,103.9,103.8,105.5,101.8,107.4,217700,218400,219600,216400,203000
Apr 2006,103.5,103.4,104.8,102,103.8,216800,217600,218100,216800,196300
May 2006,103,102.9,104,102.1,100.4,215700,216600,216600,216900,189900
Jun 2006,102.4,102.4,103.5,101.8,97.1,214500,215500,215400,216300,183700
Jul 2006,102.8,102.9,104.2,101.6,97.8,215300,216400,217000,216000,184900
Aug 2006,103.2,103.2,105.1,101.2,98.4,216100,217100,218900,215100,186100
Sep 2006,103.4,103.5,106.2,100.7,99.1,216600,217700,221100,214000,187400
Oct 2006,102.7,102.8,104.8,100.7,99.8,215200,216300,218200,213900,188700
Nov 2006,102,102,103.6,100.5,100.4,213600,214700,215700,213500,189900
Dec 2006,101.4,101.4,102.4,100.7,101.1,212400,213300,213100,214000,191200
Jan 2007,102.3,102.4,102.9,101.8,101.5,214400,215400,214300,216300,191900
Feb 2007,103.4,103.5,103.5,103.5,101.9,216700,217700,215500,219900,192700
Mar 2007,104.3,104.4,104,104.8,102.3,218600,219600,216600,222800,193400
Apr 2007,105.5,105.6,104.8,106.6,102.6,221100,222100,218100,226600,194100
May 2007,106.3,106.4,105.3,107.9,103,222800,223800,219200,229300,194800
Jun 2007,107.3,107.3,106.2,108.8,103.4,224700,225700,221100,231300,195500
Jul 2007,107,107,106.3,107.9,105.1,224100,225100,221300,229300,198800
Aug 2007,106.8,106.7,106.5,107.2,106.9,223700,224500,221800,227800,202200
Sep 2007,106.7,106.6,107,106.4,108.7,223500,224300,222700,226000,205500
Oct 2007,108.3,108.2,108.9,107.5,110.5,226900,227600,226800,228400,209000
Nov 2007,110.1,110,111.3,108.8,112.4,230700,231400,231700,231300,212500
Dec 2007,111.9,111.8,113.5,110.2,114.2,234500,235300,236400,234100,216000
Jan 2008,111.4,111.3,112.3,110.3,113.5,233300,234200,233800,234300,214700
Feb 2008,110.8,110.7,111.3,110.3,113.4,232200,233000,231700,234300,214500
Mar 2008,110,109.9,110.2,109.8,113.3,230500,231300,229500,233300,214200
Apr 2008,110.2,110,109.6,110.6,113.1,230800,231500,228200,235100,213900
May 2008,109.6,109.5,108.5,110.8,112.2,229700,230300,225900,235400,212100
Jun 2008,109.2,109,108.2,110.3,111.3,228700,229300,225300,234300,210500
Jul 2008,108.4,108.1,106.8,109.7,112.7,227000,227500,222300,233100,213100
Aug 2008,107.6,107.4,105.9,109.8,113.5,225500,225900,220400,233400,214600
Sep 2008,107.5,107.2,105.3,109.7,113.9,225200,225600,219300,233200,215400
Oct 2008,107.2,106.9,105.2,109.3,114.6,224500,224900,219100,232200,216700
Nov 2008,107.4,107.1,105.7,109.3,114.9,224900,225400,220100,232300,217300
Dec 2008,107.1,106.8,105.7,108.3,114.9,224400,224800,220000,230200,217300
Jan 2009,106,105.7,103.4,108.6,113.7,222000,222400,215200,230800,215100
Feb 2009,104.8,104.6,101.2,108.5,113.6,219600,220000,210600,230500,214900
Mar 2009,103.4,103,98.8,108.1,112.5,216600,216800,205800,229700,212700
Apr 2009,105.2,104.8,101,109.6,112.4,220400,220600,210200,232800,212600
May 2009,106.2,105.8,102.9,109.4,111.9,222400,222700,214300,232400,211600
Jun 2009,106.9,106.7,105.7,108.1,111.1,224000,224500,220000,229700,210100
Jul 2009,106.6,106.3,104.9,107.9,112.2,223300,223600,218300,229200,212200
Aug 2009,106.5,106.3,104.5,109.3,111.6,223200,223600,217500,232300,211100
Sep 2009,107.4,107.2,104.9,110.2,111.8,225100,225500,218400,234200,211400
Oct 2009,107.6,107.5,106,109.8,112,225500,226100,220700,233300,211800
Nov 2009,108.7,108.7,108.1,110.3,111.5,227800,228700,225000,234300,210800
Dec 2009,109.5,109.4,109.7,109.2,111.2,229300,230100,228400,232100,210200
Jan 2010,110.7,110.6,113,108,116.8,232000,232800,235300,229400,220800
Feb 2010,106.1,105.6,104.3,106.7,121.7,222300,222200,217200,226800,230200
Mar 2010,110.5,110.2,111.8,108.6,121.9,231600,231800,232700,230800,230500
Apr 2010,109.2,108.6,111.4,105.3,123.7,228800,228400,232000,223700,233900
May 2010,110.3,109.7,112,107.2,122.5,231000,230800,233100,227900,231600
Jun 2010,110.7,110.2,110,110.8,123.1,231900,231900,229100,235400,232800
Jul 2010,112.3,111.8,110.4,113.6,122.1,235200,235300,229900,241400,230900
Aug 2010,113.2,112.9,109.8,117.7,118.7,237100,237600,228700,250100,224500
Sep 2010,111.8,111.5,110.6,113,118.4,234300,234600,230200,240200,223900
Oct 2010,111.9,111.5,110.7,113.5,120.1,234400,234700,230500,241100,227100
Nov 2010,107,106.7,104.8,109.7,117.3,224200,224500,218100,233200,221800
Dec 2010,109.8,109.5,108.3,111.2,115.9,230100,230400,225400,236300,219200
Jan 2011,108.4,108.1,107.7,108.7,117.6,227000,227400,224300,231000,222400
Feb 2011,112.5,112.6,111.6,113.4,113.8,235700,237000,232400,240900,215200
Mar 2011,111.9,111.8,110.3,113.8,116.3,234400,235300,229600,241900,220000
Apr 2011,112.3,112.4,111.1,114,110.5,235200,236400,231300,242300,209000
May 2011,112.4,112.5,112.3,113.3,109,235500,236800,233900,240700,206100
Jun 2011,113.6,113.5,113.2,114.3,120.9,238000,238700,235600,242900,228600
Jul 2011,115.2,115.1,114.9,115.5,119.3,241300,242100,239300,245500,225600
Aug 2011,115.3,115.1,115.2,116.1,121.5,241600,242200,239800,246800,229700
Sep 2011,114.5,114.2,112.2,116.9,120.8,239900,240300,233700,248500,228500
Oct 2011,110.7,110.4,109.6,112,121.4,232000,232200,228200,238000,229500
Nov 2011,113,112.6,110.6,116,125.6,236700,236900,230200,246400,237500
Dec 2011,114.7,114.5,111.7,118.3,121.6,240400,240900,232600,251300,230000
Jan 2012,116.8,116.6,113.4,121,124.5,244600,245300,236200,257200,235400
Feb 2012,116.5,116.2,112.5,119.7,127.8,244100,244500,234300,254400,241600
Mar 2012,116.4,116.5,114.4,119.1,121.6,243900,245100,238100,253000,230000
Apr 2012,116.1,116.3,115.9,116.9,115.2,243300,244800,241200,248500,217800
May 2012,113.9,113.9,113.6,114.7,115.1,238600,239700,236600,243700,217700
Jun 2012,113.2,113.2,112.8,114.2,119,237100,238100,234900,242700,225000
Jul 2012,111.3,111.4,110.6,112.8,110.7,233100,234400,230300,239700,209300
Aug 2012,110.5,110.6,111.2,110.8,111.4,231600,232800,231500,235400,210600
Sep 2012,110.8,110.7,110.8,111,111.7,232100,233000,230700,235900,211200
Oct 2012,114.2,114.3,114.1,115.4,115.3,239200,240500,237500,245200,218100
Nov 2012,116.6,116.3,116,117.3,126,244200,244700,241600,249200,238200
Dec 2012,116.6,116.6,116.1,117.4,118.7,244300,245300,241800,249500,224500
Jan 2013,119.5,119.1,117,122.7,131.9,250400,250600,243500,260700,249400
Feb 2013,119.1,118.9,115.2,122.1,130.3,249600,250100,239800,259500,246400
Mar 2013,121.5,121.2,119.9,122.9,132.5,254500,255000,249600,261100,250600
Apr 2013,119.9,119.5,118.8,120.4,129.6,251100,251400,247300,255800,245000
May 2013,121.7,121.2,118.3,125.4,132,255000,255100,246300,266400,249700
Jun 2013,121.7,121.2,119.5,123.8,134.9,254900,255100,248800,263100,255100
Jul 2013,122.3,122,120.2,124.6,131.4,256200,256700,250300,264700,248400
Aug 2013,123.8,123.2,122.3,125,138.1,259400,259300,254600,265700,261100
Sep 2013,125.4,125.2,125.6,125.2,131.3,262800,263400,261400,266100,248200
Oct 2013,125.2,124.6,125.5,124.2,140.3,262300,262200,261200,264000,265300
Nov 2013,124.1,123.6,122.3,125.7,138.3,260000,260100,254700,267100,261500
Dec 2013,122.9,122.1,119.3,126.2,136.7,257500,257000,248300,268100,258500
Jan 2014,121.1,120.4,119.6,123,136.9,253700,253400,249000,261400,258800
