Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
Jan 2005,100,100,100,100,137200,137200,136400,138600
Feb 2005,100.3,100.3,100,100.7,137600,137600,136400,139600
Mar 2005,100.9,100.9,99.9,102.2,138500,138500,136300,141700
Apr 2005,102.3,102.3,101.2,104,140300,140300,138100,144100
May 2005,104.1,104.1,102.6,106.5,142800,142800,139900,147600
Jun 2005,105.8,105.8,103.8,109,145100,145100,141600,151100
Jul 2005,106,106,104.4,108.6,145500,145500,142400,150500
Aug 2005,106.3,106.3,104.9,108.4,145800,145800,143100,150200
Sep 2005,106.8,106.8,105.5,107.9,146500,146500,143900,149600
Oct 2005,106.7,106.7,105.4,108.8,146400,146400,143700,150800
Nov 2005,107,107,105.2,109.7,146800,146800,143500,152100
Dec 2005,107.3,107.3,104.8,109.9,147200,147200,143000,152300
Jan 2006,109.3,109.3,107.6,111.9,149900,149900,146800,155100
Feb 2006,111.4,111.4,110.5,112.9,152800,152800,150700,156500
Mar 2006,114,114,113.3,114.8,156400,156400,154600,159100
Apr 2006,114.5,114.5,114.2,115,157100,157100,155800,159400
May 2006,115.6,115.6,115.2,116,158600,158600,157200,160800
Jun 2006,116.4,116.4,116.1,117.2,159700,159700,158300,162400
Jul 2006,116.2,116.2,115.8,116.9,159400,159400,157900,162000
Aug 2006,115.9,115.9,115.2,117,159000,159000,157100,162100
Sep 2006,115.8,115.8,114.6,116.6,158900,158900,156300,161600
Oct 2006,116,116,116.3,115.9,159200,159200,158600,160700
Nov 2006,116.7,116.7,117.8,115.2,160100,160100,160700,159700
Dec 2006,117.5,117.5,119.2,113.9,161200,161200,162600,157800
Jan 2007,119.7,119.7,120.7,118.1,164200,164200,164700,163700
Feb 2007,122,122,122.4,121.5,167400,167400,167000,168400
Mar 2007,124.8,124.8,123.9,126,171200,171200,169000,174600
Apr 2007,124.3,124.3,123.9,125.2,170600,170600,169000,173500
May 2007,124.6,124.6,124.4,125,171000,171000,169700,173200
Jun 2007,124.6,124.6,124.5,125.1,170900,170900,169800,173400
Jul 2007,126.5,126.5,126.3,126.7,173500,173500,172300,175600
Aug 2007,128.1,128.1,128,128.4,175700,175700,174600,178000
Sep 2007,130.3,130.3,129.5,130.2,178800,178800,176600,180500
Oct 2007,131.9,131.9,132,131.9,181000,181000,180100,182800
Nov 2007,134,134,134.6,133.3,183800,183800,183600,184800
Dec 2007,136,136,136.7,133.9,186600,186600,186500,185600
Jan 2008,135.6,135.6,136.4,134.4,186000,186000,186100,186300
Feb 2008,134.8,134.8,135.6,134,185000,185000,184900,185700
Mar 2008,134.8,134.8,134.6,134.6,185000,185000,183600,186500
Apr 2008,134.5,134.5,135,133.8,184500,184500,184100,185500
May 2008,134.3,134.3,135.3,132.8,184300,184300,184500,184100
Jun 2008,134.2,134.2,135.7,132.1,184100,184100,185100,183100
Jul 2008,136.8,136.8,137.2,136.4,187700,187700,187100,189100
Aug 2008,138.6,138.6,139.1,137.8,190100,190100,189800,191000
Sep 2008,142.1,142.1,140.7,142.3,194900,194900,191900,197200
Oct 2008,140.2,140.2,138.3,142.9,192400,192400,188700,198000
Nov 2008,139.4,139.4,137,143.1,191300,191300,186900,198400
Dec 2008,137.5,137.5,133.9,142.5,188600,188600,182600,197500
Jan 2009,137.8,137.8,133.7,143.7,189000,189000,182400,199200
Feb 2009,137.4,137.4,133.8,142.6,188500,188500,182500,197700
Mar 2009,136.9,136.9,133,142,187800,187800,181400,196800
Apr 2009,137.8,137.8,134.9,142.4,189100,189100,184000,197300
May 2009,139,139,136.9,142,190700,190700,186700,196800
Jun 2009,140.2,140.2,139,142.3,192300,192300,189600,197200
Jul 2009,140.7,140.7,138.5,144,193000,193000,188900,199600
Aug 2009,140.7,140.7,138.4,144.2,193100,193100,188800,199800
Sep 2009,141.5,141.5,137.5,146.1,194200,194200,187500,202500
Oct 2009,144,144,140.9,148.6,197600,197600,192200,205900
Nov 2009,147.4,147.4,145.4,150.5,202300,202300,198300,208600
Dec 2009,149.6,149.6,148.2,151.7,205300,205300,202100,210300
Jan 2010,150,150,148.8,152,205800,205800,203000,210700
Feb 2010,150,150,148.7,151.9,205800,205800,202800,210500
Mar 2010,149.4,149.4,152.5,144.2,205000,205000,208000,199800
Apr 2010,149.3,149.3,150.9,147,204900,204900,205800,203800
May 2010,147.6,147.6,145.5,150.4,202500,202500,198400,208400
Jun 2010,149.7,149.7,147.1,153.6,205400,205400,200700,212900
Jul 2010,149.3,149.3,148,151.2,204900,204900,201900,209600
Aug 2010,150.7,150.7,149,152.6,206700,206700,203300,211500
Sep 2010,150.1,150.1,149.7,149.1,205900,205900,204200,206600
Oct 2010,147.4,147.4,149.3,144.6,202200,202200,203600,200400
Nov 2010,146.5,146.5,147.7,144.9,201000,201000,201400,200800
