Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,219800,229800,202500,246800,169100,157600
Feb 2005,101.2,101.3,100.5,101.6,100.7,102.3,222500,232800,203500,250800,170200,161300
Mar 2005,102.5,102.7,100.8,103.5,101.5,104.9,225400,236100,204100,255500,171600,165300
Apr 2005,104.3,104.7,102.2,105.6,102.3,106.9,229300,240500,207000,260500,173000,168500
May 2005,106,106.5,103.5,107.6,103,109.4,233000,244700,209500,265500,174200,172400
Jun 2005,107.7,108.5,104.9,109.6,103.8,110.7,236800,249300,212500,270600,175600,174500
Jul 2005,109.2,110.1,105.7,111.6,105,112.2,240000,252900,214100,275400,177600,176900
Aug 2005,110.7,111.7,107.1,113.2,106.2,113.5,243300,256800,216800,279500,179600,178900
Sep 2005,112.1,113.1,108.3,114.7,107.2,114.9,246400,260000,219300,283200,181200,181100
Oct 2005,113.6,114.9,109.4,116.7,108.2,116.3,249700,264100,221500,288100,183000,183300
Nov 2005,115.2,116.7,111,118.3,109.3,118.3,253200,268100,224800,292000,184900,186400
Dec 2005,116.6,118.2,112,120,110.2,119.2,256200,271700,226900,296200,186300,187900
Jan 2006,117.9,119.7,113.4,121.5,111.3,120.2,259200,275100,229600,299900,188200,189500
Feb 2006,119.2,121,114.5,122.9,112.4,121.5,261900,278000,231800,303200,190000,191500
Mar 2006,120.8,123,116.4,124.7,113.1,122,265600,282700,235700,307800,191300,192300
Apr 2006,122,124.4,117.4,126.2,114.3,123.3,268200,285900,237700,311500,193300,194300
May 2006,123.1,125.6,118.1,127.5,115.1,123.9,270500,288600,239100,314700,194700,195200
Jun 2006,123.9,126.5,118.6,128.4,116.4,124.6,272300,290600,240100,317000,196900,196300
