Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,235100,259100,235300,266200,162200,168100
Feb 2005,100.3,100.3,99.9,100.4,100.7,100.2,235900,259900,235000,267300,163300,168400
Mar 2005,99.9,100,99.9,100,99.4,100.3,234900,259100,235100,266300,161300,168600
Apr 2005,100,100.1,99.7,100.2,98,100.4,235100,259300,234700,266700,159000,168700
May 2005,99.8,99.7,100.1,99.7,98.8,100.4,234600,258400,235600,265500,160200,168800
Jun 2005,99.7,99.7,100.1,99.7,98.9,100.2,234300,258200,235600,265500,160400,168500
Jul 2005,99.8,99.7,100,99.8,99,100.5,234600,258400,235200,265600,160500,169000
Aug 2005,99.8,99.7,99.7,99.8,99.5,100.7,234700,258300,234500,265600,161400,169200
Sep 2005,99.6,99.3,99.8,99.3,100.4,100.4,234200,257300,234900,264400,162800,168800
Oct 2005,100.5,100.4,100.1,100.5,99.8,101.5,236200,260100,235600,267500,161800,170600
Nov 2005,100.9,100.8,100.8,100.8,100.4,102.3,237300,261200,237300,268400,162900,171900
Dec 2005,101.7,101.6,101.3,101.7,101,103.3,239200,263300,238400,270700,163900,173600
Jan 2006,102.3,102.4,102,102.5,100.4,103.6,240500,265200,240100,272900,162900,174100
Feb 2006,102.6,102.6,102.5,102.7,100.9,104.1,241200,265900,241300,273400,163600,175000
Mar 2006,103.5,103.6,103.2,103.8,102,104.6,243400,268500,242800,276300,165500,175800
Apr 2006,103.7,103.7,103.6,103.9,102.3,104.2,243700,268800,243700,276700,166000,175100
May 2006,104.2,104.3,103.8,104.5,102.7,103.7,244900,270200,244300,278100,166600,174300
