Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
Jan 2005,100,100,100,100,206000,206000,206400,205900
Feb 2005,100.6,100.6,100.3,100.9,207200,207200,207000,207800
Mar 2005,101.4,101.4,101,102.3,208800,208800,208500,210600
Apr 2005,101.9,101.9,101.5,102.3,209900,209900,209400,210600
May 2005,102.5,102.5,102.3,102.7,211200,211200,211100,211500
Jun 2005,103.2,103.2,103.1,103,212500,212500,212700,212100
Jul 2005,103,103,101.9,104.4,212200,212200,210400,215000
Aug 2005,102.9,102.9,101,105.6,212000,212000,208500,217500
Sep 2005,102.7,102.7,99.9,106.7,211600,211600,206100,219700
Oct 2005,103.2,103.2,100.9,107,212600,212600,208200,220300
Nov 2005,103.8,103.8,101.6,107.2,213800,213800,209800,220700
Dec 2005,104.5,104.5,102.6,107.4,215300,215300,211800,221100
Jan 2006,105.5,105.5,104.1,107.6,217300,217300,214800,221600
Feb 2006,106.5,106.5,105.6,107.7,219300,219300,218000,221700
Mar 2006,107.7,107.7,107.5,108.2,221800,221800,221900,222700
Apr 2006,106.9,106.9,105.7,108.7,220300,220300,218100,223900
May 2006,106.5,106.5,104.2,109.8,219300,219300,215100,226000
Jun 2006,105.8,105.8,102.8,110.7,218000,218000,212100,228000
Jul 2006,105.9,105.9,103.1,110.3,218200,218200,212800,227200
Aug 2006,106,106,103.6,109.9,218400,218400,213800,226200
Sep 2006,106.1,106.1,103.7,109.2,218500,218500,214100,224900
Oct 2006,106.5,106.5,104.2,110.2,219400,219400,215000,226900
Nov 2006,107,107,104.5,111.1,220500,220500,215600,228700
Dec 2006,107.7,107.7,104.8,112.2,221900,221900,216300,231000
Jan 2007,108,108,105.4,112.1,222500,222500,217600,230900
Feb 2007,108.3,108.3,105.9,111.8,223000,223000,218600,230200
Mar 2007,108.6,108.6,106.6,112.2,223800,223800,220000,231000
Apr 2007,109.1,109.1,106.6,112.9,224700,224700,220000,232500
May 2007,110,110,106.9,114.5,226500,226500,220700,235800
Jun 2007,110.7,110.7,107.4,115.8,228100,228100,221700,238500
Jul 2007,111.3,111.3,108.1,116.3,229300,229300,223200,239500
Aug 2007,111.9,111.9,109.1,116.5,230600,230600,225100,239900
Sep 2007,112.6,112.6,109.8,116.7,232000,232000,226600,240200
Oct 2007,112.4,112.4,109.7,116.9,231600,231600,226500,240600
Nov 2007,112.1,112.1,109.4,116.6,231000,231000,225700,240100
Dec 2007,112.3,112.3,109.3,116.9,231400,231400,225500,240800
Jan 2008,113,113,109.9,117.9,232800,232800,226800,242800
Feb 2008,113.6,113.6,110.4,118.6,234000,234000,227800,244200
Mar 2008,114.2,114.2,110.9,120,235300,235300,228800,247100
Apr 2008,113.4,113.4,111,117.2,233700,233700,229100,241400
May 2008,113.4,113.4,111.9,115.6,233600,233600,230900,238000
Jun 2008,113.2,113.2,112.8,113.4,233100,233100,232800,233500
Jul 2008,112.8,112.8,112.3,113.3,232400,232400,231800,233200
Aug 2008,112.2,112.2,111.4,113.4,231200,231200,230000,233500
Sep 2008,112.2,112.2,110.8,114,231100,231100,228600,234800
Oct 2008,112.1,112.1,110.7,114.3,231000,231000,228500,235400
Nov 2008,111.6,111.6,110.3,113.5,229800,229800,227600,233700
Dec 2008,111.7,111.7,110,113.9,230100,230100,227000,234600
Jan 2009,111.4,111.4,109.6,113.9,229400,229400,226300,234600
Feb 2009,110.5,110.5,108.6,113.2,227700,227700,224100,233100
Mar 2009,109.4,109.4,107,113.5,225300,225300,220800,233600
Apr 2009,109.2,109.2,107.2,112.1,225000,225000,221300,230900
May 2009,109.8,109.8,107.7,113,226100,226100,222300,232700
Jun 2009,110.4,110.4,108.3,113.6,227500,227500,223600,233900
Jul 2009,111.1,111.1,109.2,114,228800,228800,225300,234800
Aug 2009,111.6,111.6,110,114,229900,229900,227000,234800
Sep 2009,112.4,112.4,111,114.1,231500,231500,229200,235000
Oct 2009,113.9,113.9,111.8,117.2,234600,234600,230800,241400
Nov 2009,115,115,112.2,119.4,236800,236800,231600,245800
