Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA
Jan 2005,100,100,100,100,100,162600,162600,164700,159500,146300
Feb 2005,97.6,97.7,96,100.1,100.4,158700,158900,158100,159700,146900
Mar 2005,100.7,100.8,101.2,100.3,100.9,163800,163900,166600,160000,147600
Apr 2005,100.7,100.7,101.7,99.4,101.4,163700,163800,167500,158500,148300
May 2005,99.9,99.9,100.9,98.5,101.8,162400,162400,166200,157100,149000
Jun 2005,100.9,100.9,103.3,97.1,102.3,164000,164100,170100,154800,149700
Jul 2005,100.1,100.1,101.1,98.7,102.7,162800,162800,166500,157400,150300
Aug 2005,102.8,102.9,105,99.8,103.2,167200,167300,173000,159200,151000
Sep 2005,105.5,105.6,108.2,100.7,103.7,171600,171700,178200,160600,151700
Oct 2005,103.1,103.1,104.7,100.7,104.2,167600,167600,172500,160600,152400
Nov 2005,105.1,105.1,108.3,100.3,104.6,170900,170900,178400,160000,153100
Dec 2005,100.8,100.9,102,99.9,105.1,163900,164000,168000,159400,153800
Jan 2006,103.6,103.7,105.6,100.7,105.5,168500,168600,174000,160600,154300
Feb 2006,105.8,106,109.1,101.1,105.9,172100,172300,179700,161200,154900
Mar 2006,105.9,105.9,108.9,101.4,106.2,172200,172200,179400,161800,155400
Apr 2006,106.8,106.8,109.8,102.4,106.6,173600,173700,180900,163400,155900
May 2006,106,106,107.8,103.4,106.9,172300,172300,177500,164900,156400
Jun 2006,106.9,107,109,103.9,107.2,173900,174000,179500,165700,156900
Jul 2006,107.7,107.8,109.8,104.8,106.2,175200,175300,180800,167100,155300
Aug 2006,106.1,106.2,106.9,105.2,105.1,172500,172600,176100,167800,153700
Sep 2006,106.4,106.5,106.6,105.2,104,173000,173100,175600,167800,152100
Oct 2006,108.9,109,110.5,106.8,102.9,177100,177200,182000,170300,150500
Nov 2006,108.1,108.2,108.4,108,101.8,175800,176000,178500,172200,148900
Dec 2006,110.8,110.8,112.5,109.2,100.8,180100,180200,185300,174200,147400
Jan 2007,110.7,110.8,111.2,110,101.1,180000,180200,183200,175400,147900
Feb 2007,111.2,111.3,111.8,110.3,101.4,180800,180900,184200,175900,148400
Mar 2007,112.1,112.2,113.1,110.8,101.8,182200,182500,186300,176800,149000
Apr 2007,111.9,112.1,112.1,112,102.2,182000,182200,184600,178700,149500
May 2007,114.6,114.7,115.7,113.4,102.6,186300,186500,190600,180800,150100
Jun 2007,115.3,115.4,115.9,114.5,102.9,187500,187700,190900,182700,150600
Jul 2007,118,118.1,119.6,115.7,104.4,191900,192000,196900,184600,152700
Aug 2007,118,118.1,119.4,116.4,105.8,191900,192100,196600,185600,154800
Sep 2007,118,118.1,118.5,116.6,107.3,191800,192000,195100,186000,157000
Oct 2007,118.2,118.3,119.2,117.1,108.8,192200,192400,196400,186700,159200
Nov 2007,117.3,117.5,117.8,117,110.3,190800,191000,194000,186600,161400
Dec 2007,117,117.1,117.5,117,111.9,190300,190400,193600,186600,163700
Jan 2008,120.7,120.8,122.4,118.1,112.4,196200,196400,201600,188400,164400
Feb 2008,119.7,119.8,120.5,118.7,112.9,194600,194800,198400,189300,165200
Mar 2008,119.6,119.7,120,119.4,113.4,194500,194600,197700,190400,165900
Apr 2008,121,121.1,122.3,119.4,114.9,196700,196900,201400,190400,168100
May 2008,120.8,120.9,121.7,119.8,115.4,196400,196600,200500,191100,168800
Jun 2008,121.2,121.2,121.6,120.6,116.1,197000,197100,200300,192300,169900
Jul 2008,118.8,118.8,118.8,119,115.2,193100,193200,195600,189800,168500
Aug 2008,120.6,120.7,123.3,117.2,114.3,196100,196300,203100,186900,167200
Sep 2008,119.7,119.8,123.3,114.5,113.3,194600,194800,203100,182600,165800
Oct 2008,118.7,118.8,121.3,115.5,112.6,193000,193200,199700,184200,164700
Nov 2008,119.5,119.6,122.2,116.3,111.6,194300,194500,201300,185500,163300
Dec 2008,119.1,119.2,121.1,117,110.7,193600,193800,199500,186600,162000
Jan 2009,118.9,119.1,120.6,117.2,109.8,193400,193700,198600,186900,160600
Feb 2009,118.8,119,121.3,116.4,108.8,193200,193500,199700,185600,159200
Mar 2009,116.6,116.7,118.2,115.2,108.1,189600,189800,194600,183700,158100
Apr 2009,116.5,116.7,118.8,114,107.2,189500,189700,195600,181800,156800
May 2009,117.2,117.3,120.5,113.3,106.3,190600,190800,198400,180700,155500
Jun 2009,117.2,117.4,120.4,113.5,105.5,190600,190900,198300,181000,154400
Jul 2009,119.1,119.3,122.3,115.2,107.1,193700,194000,201500,183800,156700
Aug 2009,118.4,118.5,120.2,116.5,109.1,192500,192700,198000,185800,159600
Sep 2009,120.3,120.5,122.6,117,111.6,195600,195900,202000,186600,163200
Oct 2009,120.6,120.7,123.3,117.2,113.8,196100,196300,203000,186900,166500
Nov 2009,120.4,120.5,123,117.4,116.1,195800,196000,202500,187200,169900
Dec 2009,121.2,121.3,124.2,117.4,118.5,197100,197300,204600,187200,173400
Jan 2010,116.1,116.3,115.2,117.9,116.5,188800,189100,189800,188100,170500
