Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,182100,183000,183800,182300,197300,124900
Feb 2005,104.5,104.8,109,100.1,98.5,100.2,190300,191700,200300,182500,194400,125100
Mar 2005,100.3,100.4,100.7,100.4,97.1,100.2,182600,183800,185100,183000,191600,125200
Apr 2005,101.5,101.7,104.2,99.2,95.7,100.4,184800,186100,191500,180800,188800,125400
May 2005,101,101.2,103.9,98.2,94.3,100.5,183900,185200,191000,179000,186000,125500
Jun 2005,100.8,101.1,105,96.8,92.9,100.6,183500,185000,193000,176500,183300,125700
Jul 2005,102.6,102.9,107.7,98.1,91.5,100.8,186800,188300,197900,178900,180600,125900
Aug 2005,102.2,102.5,106.1,99.2,90.2,100.9,186100,187600,195100,180800,178000,126000
Sep 2005,101.9,102.2,104.6,100.2,88.9,101,185500,187000,192300,182700,175400,126200
Oct 2005,102.5,102.8,104.7,100.7,87.6,101.1,186600,188200,192500,183600,172800,126300
Nov 2005,103.7,104,106.9,101.3,86.3,101.3,188800,190400,196500,184600,170300,126500
Dec 2005,105.1,105.5,109,101.8,85,101.4,191400,193100,200400,185500,167800,126600
Jan 2006,106.3,106.7,111.2,102.4,91.2,101.6,193500,195300,204400,186600,180000,126900
Feb 2006,106,106.3,109.2,102.7,97.8,101.8,193100,194500,200800,187300,193000,127100
Mar 2006,106,106.2,109.4,103.3,104.9,102,193000,194300,201000,188400,207000,127400
Apr 2006,107.2,107.3,111.4,103.1,112.5,102.2,195300,196400,204700,187900,222000,127600
May 2006,105.1,105,106.8,103.1,120.7,102.4,191400,192200,196300,187900,238100,127900
