Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
Jan 2005,100,100,100,100,104900,104900,109600,99700
Feb 2005,99,99,97.8,100.4,103800,103800,107200,100100
Mar 2005,99,99,96.9,101.3,103900,103900,106200,101000
Apr 2005,97.4,97.4,96.3,99.4,102200,102200,105500,99100
May 2005,97.7,97.7,96.9,99.4,102500,102500,106200,99100
Jun 2005,97.6,97.6,96.4,98.6,102400,102400,105700,98300
Jul 2005,100.1,100.1,99.9,100.5,105000,105000,109500,100200
Aug 2005,102.4,102.4,102.4,102.4,107400,107400,112200,102100
Sep 2005,104.4,104.4,103.3,104.4,109500,109500,113200,104100
Oct 2005,105.1,105.1,104.2,106.1,110200,110200,114200,105800
Nov 2005,105.5,105.5,104.1,108,110700,110700,114100,107700
Dec 2005,106.1,106.1,103.6,108.4,111300,111300,113600,108100
Jan 2006,106.8,106.8,104.4,109.8,112000,112000,114400,109500
Feb 2006,107.6,107.6,106.3,109.3,112900,112900,116500,109000
Mar 2006,108.5,108.5,109.8,107.4,113800,113800,120300,107100
Apr 2006,110.9,110.9,110.6,111.2,116300,116300,121200,110900
May 2006,111.6,111.6,112.9,110.9,117100,117100,123700,110600
Jun 2006,113.3,113.3,114,111.8,118800,118800,124900,111500
Jul 2006,112.9,112.9,113.9,111.9,118400,118400,124800,111600
Aug 2006,112.4,112.4,112.7,112.1,117900,117900,123500,111800
Sep 2006,111.4,111.4,109.9,112.3,116900,116900,120400,112000
Oct 2006,114.4,114.4,117.5,110.5,120000,120000,128800,110200
Nov 2006,117.3,117.3,124.5,108.8,123000,123000,136500,108500
Dec 2006,120.4,120.4,131.8,105.9,126300,126300,144400,105600
Jan 2007,124.3,124.3,134.5,111.6,130400,130400,147400,111300
Feb 2007,128.7,128.7,139,116.5,135000,135000,152300,116200
Mar 2007,134.2,134.2,144.8,121.6,140800,140800,158700,121200
Apr 2007,130.4,130.4,137.5,122.1,136800,136800,150700,121700
May 2007,127.5,127.5,132,122.5,133700,133700,144700,122100
Jun 2007,124.5,124.5,125.4,122.7,130600,130600,137400,122300
Jul 2007,124.9,124.9,127.6,121.9,131000,131000,139800,121500
Aug 2007,125.1,125.1,128.3,120.9,131200,131200,140600,120500
Sep 2007,124.4,124.4,127.6,119.6,130500,130500,139900,119200
Oct 2007,123.9,123.9,127.6,119.4,130000,130000,139900,119000
Nov 2007,123.3,123.3,127.2,118.6,129300,129300,139400,118200
Dec 2007,122.6,122.6,126,117.2,128600,128600,138100,116800
Jan 2008,122.1,122.1,126,117.9,128100,128100,138100,117500
Feb 2008,121.7,121.7,126.6,117.6,127700,127700,138700,117200
Mar 2008,123,123,127.6,118.7,129000,129000,139800,118300
Apr 2008,123.2,123.2,129,117.1,129200,129200,141400,116700
May 2008,126.8,126.8,132.8,120.2,133000,133000,145500,119800
Jun 2008,129.3,129.3,134.8,122.1,135600,135600,147700,121700
Jul 2008,130.9,130.9,137.5,123.4,137300,137300,150700,123000
Aug 2008,132.8,132.8,139.8,124.6,139300,139300,153200,124200
Sep 2008,134.5,134.5,141.5,125,141100,141100,155100,124600
Oct 2008,132.5,132.5,137.8,125.9,139000,139000,151000,125500
Nov 2008,130.3,130.3,134.6,124.9,136700,136700,147500,124500
Dec 2008,128.5,128.5,130.6,124.6,134800,134800,143100,124200
Jan 2009,126.8,126.8,130.1,122.1,133000,133000,142600,121700
Feb 2009,125.6,125.6,131.5,120.2,131800,131800,144100,119800
Mar 2009,124.8,124.8,132,117.9,130900,130900,144700,117500
Apr 2009,126.6,126.6,133.2,118.5,132800,132800,146000,118100
May 2009,128.8,128.8,136.2,119.7,135100,135100,149300,119300
Jun 2009,129.9,129.9,137.1,120.3,136300,136300,150300,119900
Jul 2009,130.9,130.9,137.5,122.3,137300,137300,150700,121900
Aug 2009,131.6,131.6,138.2,123.4,138100,138100,151500,123000
Sep 2009,131.6,131.6,137.9,123.7,138000,138000,151100,123300
Oct 2009,134.4,134.4,139.2,128.4,141000,141000,152600,128000
Nov 2009,137.5,137.5,142.2,131.3,144200,144200,155900,130900
Dec 2009,140.2,140.2,143.6,135.1,147100,147100,157400,134700
Jan 2010,143.4,143.4,145.7,138.8,150400,150400,159700,138400
Feb 2010,143.8,143.8,140.3,149.3,150800,150800,153800,148900
Mar 2010,135.9,135.9,138,135.6,142600,142600,151300,135200
Apr 2010,137.8,137.8,139.1,136.8,144600,144600,152400,136400
May 2010,138.8,138.8,140,137.1,145600,145600,153400,136700
Jun 2010,139.7,139.7,141.2,136.4,146500,146500,154800,136000
Jul 2010,137.8,137.8,140,134.3,144600,144600,153400,133900
Aug 2010,138.2,138.2,140.4,134.4,145000,145000,153900,134000
Sep 2010,140.4,140.4,141.3,138.6,147300,147300,154900,138200
Oct 2010,142,142,146,136.3,149000,149000,160000,135900
Nov 2010,141.3,141.3,141.5,140.1,148200,148200,155100,139700
Dec 2010,141.1,141.1,144.1,136.2,148000,148000,157900,135800
Jan 2011,139.3,139.3,141.6,133.8,146100,146100,155200,133400
Feb 2011,137.5,137.5,139.5,135,144200,144200,152900,134600
Mar 2011,139.8,139.8,141.7,140.4,146600,146600,155300,140000
Apr 2011,142.1,142.1,139.9,144.6,149100,149100,153300,144200
May 2011,142.3,142.3,140.6,143.9,149300,149300,154100,143500
Jun 2011,147.4,147.4,144.1,150.7,154600,154600,157900,150200
Jul 2011,150.5,150.5,149.1,151.5,157900,157900,163400,151000
Aug 2011,149.4,149.4,146.7,152,156700,156700,160800,151500
Sep 2011,148.7,148.7,148.9,147.9,156000,156000,163200,147500
Oct 2011,147.2,147.2,147.4,146.6,154400,154400,161600,146200
Nov 2011,149.3,149.3,150.9,146.7,156600,156600,165400,146300
Dec 2011,148.5,148.5,150.7,145,155800,155800,165200,144600
Jan 2012,149.6,149.6,144.8,153.2,156900,156900,158700,152700
Feb 2012,154.3,154.3,153.1,154.8,161900,161900,167800,154300
Mar 2012,157.4,157.4,154.6,164.2,165100,165100,169400,163700
Apr 2012,157.4,157.4,158.8,156.1,165100,165100,174000,155600
May 2012,154.7,154.7,154.9,154.1,162300,162300,169800,153600
Jun 2012,148.4,148.4,151.2,144,155700,155700,165700,143600
Jul 2012,150.4,150.4,150.4,150.1,157800,157800,164800,149600
Aug 2012,153.5,153.5,153.3,153.2,161000,161000,168000,152700
Sep 2012,151,151,147.4,155.3,158400,158400,161600,154800
Oct 2012,151.7,151.7,149.7,153.9,159100,159100,164100,153400
Nov 2012,149.7,149.7,144.2,155.9,157000,157000,158000,155400
Dec 2012,155,155,149.3,161.7,162600,162600,163600,161200
Jan 2013,159.3,159.3,154.7,163.3,167100,167100,169600,162800
Feb 2013,160.9,160.9,158.7,161.6,168800,168800,173900,161100
Mar 2013,148.2,148.2,144.2,155.8,155500,155500,158000,155300
Apr 2013,151,151,149.5,153.6,158400,158400,163900,153100
May 2013,150.1,150.1,147.5,152.8,157500,157500,161700,152300
Jun 2013,150.4,150.4,151.7,147.7,157800,157800,166300,147300
Jul 2013,153.6,153.6,152.5,154.5,161100,161100,167100,154000
Aug 2013,151.6,151.6,149.4,153.8,159000,159000,163700,153300
Sep 2013,155.9,155.9,152.9,159.5,163500,163500,167600,159000
Oct 2013,157.5,157.5,152,163.9,165200,165200,166600,163400
Nov 2013,160.9,160.9,155.3,167.5,168800,168800,170200,167000
Dec 2013,160.9,160.9,158.6,163.4,168800,168800,173800,162900
Jan 2014,160.9,160.9,161.6,159.3,168800,168800,177100,158800
Feb 2014,148.6,148.6,146.2,148.6,155900,155900,160200,148200
Mar 2014,155.9,155.9,153.1,161.3,163500,163500,167800,160800
Apr 2014,157.3,157.3,152.7,162.7,165000,165000,167400,162200
May 2014,161.3,161.3,157.8,164.9,169200,169200,173000,164400
Jun 2014,162.4,162.4,157.4,167.7,170400,170400,172500,167200
Jul 2014,161.9,161.9,158.2,165.6,169800,169800,173400,165100
Aug 2014,161.3,161.3,158.5,164,169200,169200,173700,163500
Sep 2014,164.1,164.1,160.2,169.2,172100,172100,175600,168700
Oct 2014,162.6,162.6,157.6,168.7,170600,170600,172700,168200
Nov 2014,160.3,160.3,157.3,163.5,168200,168200,172400,163000
Dec 2014,161.5,161.5,156.6,167,169400,169400,171600,166500
Jan 2015,159.9,159.9,153.8,167.7,167700,167700,168600,167200
Feb 2015,158.2,158.2,144.3,173.4,165900,165900,158200,172900
Mar 2015,157.2,157.2,148.5,169.2,164900,164900,162800,168700
Apr 2015,161.6,161.6,154.6,171.2,169500,169500,169400,170700
May 2015,158.7,158.7,153.6,164.1,166500,166500,168400,163600
Jun 2015,161.6,161.6,156.7,166.5,169500,169500,171700,166000
Jul 2015,159.8,159.8,155.1,164.4,167600,167600,170000,163900
Aug 2015,160.1,160.1,155.1,165.7,167900,167900,170000,165200
Sep 2015,156,156,155,156.7,163600,163600,169900,156200
Oct 2015,161.6,161.6,159.1,163.6,169500,169500,174400,163100
Nov 2015,162,162,161.5,161.1,169900,169900,177000,160600
Dec 2015,160.6,160.6,157.8,163.3,168500,168500,172900,162800
Jan 2016,149.3,149.3,144.3,156.6,156600,156600,158200,156100
Feb 2016,154.6,154.6,152.4,153,162200,162200,167000,152500
Mar 2016,154.1,154.1,150,157,161700,161700,164400,156500
Apr 2016,158.6,158.6,154,164.8,166400,166400,168800,164300
May 2016,165.7,165.7,159.9,171.6,173800,173800,175300,171100
Jun 2016,163.8,163.8,158.7,169.3,171800,171800,173900,168800
Jul 2016,163.4,163.4,159.9,166.7,171400,171400,175300,166200
Aug 2016,162.8,162.8,160.5,164.6,170800,170800,175900,164100
Sep 2016,158.2,158.2,159.8,155.3,165900,165900,175100,154800
Oct 2016,154.3,154.3,155.7,151,161900,161900,170700,150500
Nov 2016,156.4,156.4,157.8,153.7,164100,164100,172900,153200
Dec 2016,153.9,153.9,155.2,151,161400,161400,170100,150500
Jan 2017,152.7,152.7,154.7,150.2,160200,160200,169600,149700
Feb 2017,148.6,148.6,144.5,151,155900,155900,158400,150500
Mar 2017,146.5,146.5,142.9,148.8,153700,153700,156600,148400
Apr 2017,145.4,145.4,147.9,140,152500,152500,162100,139600
May 2017,148.4,148.4,150.1,143.9,155700,155700,164500,143500
Jun 2017,150.5,150.5,153.2,145.6,157900,157900,167900,145200
Jul 2017,150.9,150.9,152,148.2,158300,158300,166600,147800
Aug 2017,153.6,153.6,156.2,148.4,161100,161100,171200,148000
Sep 2017,155.3,155.3,154,156.6,162900,162900,168800,156100
Oct 2017,155.5,155.5,157,152.4,163100,163100,172100,151900
Nov 2017,155,155,154.9,154.7,162600,162600,169800,154200
Dec 2017,153.7,153.7,154.1,152.1,161200,161200,168900,151600
Jan 2018,156.1,156.1,153.6,160.2,163800,163800,168300,159700
Feb 2018,162.8,162.8,161.3,161.5,170800,170800,176800,161000
Mar 2018,162.1,162.1,159.3,160.6,170000,170000,174600,160100
Apr 2018,151.6,151.6,152.4,150.5,159000,159000,167000,150000
May 2018,151.2,151.2,147.3,155.3,158600,158600,161400,154800
Jun 2018,153.8,153.8,150.3,157.9,161300,161300,164700,157400
Jul 2018,157.1,157.1,158.6,154.3,164800,164800,173800,153800
Aug 2018,156.1,156.1,159.3,150.7,163700,163700,174600,150200
Sep 2018,158.1,158.1,160.5,154.1,165800,165800,175900,153600
Oct 2018,158.7,158.7,158.9,157.7,166500,166500,174100,157200
Nov 2018,155.3,155.3,152.8,158.4,162900,162900,167500,157900
Dec 2018,156.6,156.6,151.7,163.1,164300,164300,166300,162600
Jan 2019,154,154,153.3,155.3,161500,161500,168000,154800
Feb 2019,153.6,153.6,158.2,145.3,161100,161100,173400,144900
Mar 2019,166.7,166.7,173.7,152.7,174900,174900,190400,152200
Apr 2019,164.9,164.9,171.2,155.9,173000,173000,187600,155400
May 2019,160,160,164.4,153.4,167800,167800,180200,152900
Jun 2019,155.4,155.4,157.4,152.3,163000,163000,172500,151800
Jul 2019,155.4,155.4,153.8,156.8,163000,163000,168600,156300
Aug 2019,158.8,158.8,156.1,161.5,166600,166600,171100,161000
Sep 2019,160,160,157.7,161.9,167800,167800,172800,161400
Oct 2019,163.3,163.3,162.4,163.6,171300,171300,178000,163100
Nov 2019,160.4,160.4,161.3,158.5,168300,168300,176800,158000
Dec 2019,160.7,160.7,166.2,152.5,168600,168600,182200,152000
Jan 2020,164.3,164.3,167.1,160.4,172300,172300,183100,159900
Feb 2020,161.6,161.6,158.9,163.2,169500,169500,174200,162700
Mar 2020,162.8,162.8,152.8,171.2,170800,170800,167500,170700
Apr 2020,162.2,162.2,160,164.8,170200,170200,175400,164300
May 2020,165.9,165.9,164.7,167,174000,174000,180500,166500
Jun 2020,168.4,168.4,170.3,164.4,176600,176600,186700,163900
Jul 2020,168.5,168.5,170.9,164.2,176800,176800,187300,163700
Aug 2020,173.9,173.9,171.6,175.6,182400,182400,188100,175100
Sep 2020,176.9,176.9,176.1,176.5,185600,185600,193000,176000
Oct 2020,180.4,180.4,178.1,182.2,189200,189200,195200,181700
Nov 2020,187.2,187.2,186.8,186.8,196400,196400,204700,186200
Dec 2020,191.1,191.1,190.7,190.8,200500,200500,209000,190200
Jan 2021,192.6,192.6,189.6,196.8,202000,202000,207800,196200
Feb 2021,193.7,193.7,190.5,196.8,203200,203200,208800,196200
Mar 2021,194.9,194.9,183.9,203.7,204400,204400,201500,203100
Apr 2021,204,204,197.6,212.9,214000,214000,216600,212300
May 2021,211,211,206.6,218.1,221300,221300,226400,217400
Jun 2021,220.2,220.2,213.9,227.4,231000,231000,234400,226700
Jul 2021,227.1,227.1,220.3,235.2,238200,238200,241500,234500
Aug 2021,230.3,230.3,224.4,237.2,241600,241600,245900,236500
Sep 2021,235.6,235.6,229.4,242.3,247100,247100,251400,241600
Oct 2021,239.2,239.2,234.2,244,250900,250900,256700,243300
Nov 2021,246.5,246.5,242.8,250.3,258600,258600,266100,249500
Dec 2021,251,251,244.4,258.8,263300,263300,267900,258000
Jan 2022,259.3,259.3,255,265.1,272000,272000,279500,264300
Feb 2022,269.9,269.9,265,276.1,283100,283100,290400,275300
Mar 2022,280.6,280.6,278.4,278.4,294300,294300,305100,277600
Apr 2022,290.7,290.7,286.6,296.2,304900,304900,314100,295300
May 2022,297.7,297.7,287.3,314.1,312300,312300,314900,313200
Jun 2022,291.2,291.2,287.2,295,305500,305500,314800,294100
Jul 2022,291.4,291.4,284.4,299.6,305700,305700,311700,298700
Aug 2022,281.1,281.1,276.5,285.6,294900,294900,303000,284700
Sep 2022,275.2,275.2,268.8,281,288700,288700,294600,280200
Oct 2022,265.7,265.7,260.2,270,278700,278700,285200,269200
Nov 2022,269.5,269.5,258,283.1,282700,282700,282800,282300
