Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA
Jan 2005,100,100,100,100,100,153600,153600,160000,145400,148600
Feb 2005,100.1,100.1,99.2,101.2,100.2,153800,153800,158700,147100,148900
Mar 2005,102.4,102.5,101.8,102.4,100.3,157300,157400,162900,148900,149000
Apr 2005,103.1,103.1,101.8,103.6,100.5,158300,158300,162900,150600,149400
May 2005,102.7,102.7,100.6,104.5,100.5,157800,157800,161000,152000,149400
Jun 2005,105.1,105,103.8,105.4,100.7,161400,161300,166000,153200,149600
Jul 2005,101.7,101.7,98.3,105,101.3,156200,156200,157300,152600,150500
Aug 2005,104.3,104.3,103.9,104.3,101.9,160200,160200,166300,151700,151400
Sep 2005,103.6,103.6,103.5,103.5,102.4,159100,159200,165600,150500,152200
Oct 2005,106.3,106.3,108.9,102.1,103.2,163300,163300,174200,148400,153300
Nov 2005,101.5,101.5,101.3,100.8,103.9,155900,155900,162100,146500,154400
Dec 2005,105,105,108.3,99.7,104.6,161300,161300,173200,144900,155500
Jan 2006,104.8,104.8,107,100.8,105.4,160900,160900,171200,146500,156600
Feb 2006,105.1,105.1,107.1,101.3,106.1,161400,161500,171300,147300,157700
Mar 2006,106.8,106.8,109.1,102,106.7,164100,164000,174500,148300,158500
Apr 2006,108.7,108.7,111.4,102.8,107.3,166900,166900,178300,149400,159500
May 2006,110.4,110.4,113.6,103.4,107.9,169500,169500,181700,150300,160400
Jun 2006,104.6,104.6,103.9,103.9,108.5,160700,160700,166300,151000,161300
Jul 2006,113.3,113.3,116.3,106.1,109.4,174000,174000,186000,154200,162500
Aug 2006,112,112,114.1,108.3,110.2,172100,172100,182500,157400,163700
Sep 2006,114.3,114.3,116.6,110.2,110.9,175500,175500,186500,160200,164800
Oct 2006,114.8,114.8,117.1,110.8,111.2,176300,176300,187300,161100,165200
Nov 2006,114.4,114.3,115.5,111.4,111.5,175700,175600,184800,162000,165700
Dec 2006,113.9,113.9,114.8,112.1,111.8,174900,174900,183700,163000,166100
Jan 2007,115.3,115.3,115.9,113.3,111.7,177100,177100,185500,164800,166000
Feb 2007,115.9,115.9,116,114.4,111.4,178000,178000,185600,166400,165600
Mar 2007,116.5,116.5,116.3,115.8,111,179000,178900,186100,168400,165000
Apr 2007,116.3,116.3,115.1,117.1,112.1,178600,178600,184100,170300,166600
May 2007,120.5,120.5,121.1,118.5,113.1,185100,185100,193700,172300,168100
Jun 2007,122.1,122.1,122.7,119.5,114.3,187600,187600,196300,173800,169800
Jul 2007,121.5,121.5,121.8,118.8,114.5,186600,186600,194900,172700,170100
Aug 2007,118.8,118.8,118.9,117.7,114.8,182500,182500,190300,171100,170600
Sep 2007,121.2,121.2,123.9,116.5,114.9,186200,186200,198200,169400,170800
Oct 2007,119.1,119.1,120.3,116.8,115.5,183000,183000,192500,169800,171600
Nov 2007,123.1,123.1,126,117.3,116.2,189100,189100,201600,170600,172600
Dec 2007,118.9,118.9,119.8,117.4,116.7,182600,182600,191600,170700,173400
Jan 2008,125.3,125.3,128.1,118.9,117.7,192400,192400,205000,172900,174900
Feb 2008,125.4,125.4,126.7,121.1,118.1,192600,192600,202700,176100,175500
Mar 2008,126.8,126.8,128,123.4,118.7,194700,194800,204800,179400,176400
Apr 2008,126.5,126.6,127.1,124.7,119.7,194300,194400,203300,181300,177800
May 2008,126.8,126.8,126.9,125.5,120.5,194700,194700,203000,182500,179000
Jun 2008,124.7,124.7,123.1,126.1,121.8,191600,191600,196900,183300,181000
Jul 2008,123.6,123.6,121.8,124.4,121.5,189800,189800,194800,180900,180600
Aug 2008,122.4,122.4,121.1,122.6,121.4,188000,188000,193700,178200,180400
Sep 2008,123.1,123.1,123.9,120.9,120.8,189100,189100,198300,175800,179500
Oct 2008,123.3,123.3,123.1,122.6,120.1,189400,189400,197000,178200,178500
Nov 2008,124.6,124.6,123.4,125,119.8,191400,191400,197500,181800,178000
Dec 2008,125.7,125.7,124.3,127.2,119.2,193100,193100,198900,185000,177200
Jan 2009,122.9,122.9,120.6,124.8,119.7,188700,188700,193000,181500,177800
Feb 2009,123.7,123.8,122.6,123.1,118.8,190000,190100,196100,179000,176600
Mar 2009,121.4,121.4,120.8,120.9,118.7,186400,186400,193200,175800,176400
Apr 2009,121.8,121.8,122.5,120,118,187100,187100,196000,174500,175300
May 2009,119.8,119.9,120.4,117.8,117.3,184000,184100,192700,171300,174300
Jun 2009,120.2,120.2,121.6,116.6,117.3,184700,184700,194600,169500,174300
Jul 2009,122.9,122.9,124.1,118.9,118.4,188700,188700,198500,172900,176000
Aug 2009,124.4,124.4,125.1,120.1,119.5,191100,191100,200100,174600,177600
Sep 2009,122.8,122.8,122.4,122.1,120.1,188600,188600,195800,177500,178400
Oct 2009,121.1,121.1,119.6,122.5,120.4,186000,186000,191300,178100,178900
Nov 2009,124.1,124.2,122.8,124.7,121.4,190600,190700,196400,181300,180400
Dec 2009,124.1,124.1,122.4,126,121.9,190600,190600,195800,183200,181100
Jan 2010,126.6,126.6,124.9,127.7,119.4,194400,194400,199900,185700,177500
Feb 2010,126.2,126.2,125.6,125,122.3,193900,193900,201000,181700,181700
