Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
Jan 2005,100,100,100,100,135200,135200,135000,135000
Feb 2005,99.3,99.3,98.1,102.4,134300,134300,132500,138300
Mar 2005,96.6,96.6,93,104.3,130600,130600,125600,140800
Apr 2005,98.7,98.7,96.5,104.9,133500,133500,130300,141600
May 2005,98.5,98.5,96.1,105,133200,133200,129700,141800
Jun 2005,100.4,100.4,98.5,105.4,135800,135800,133000,142300
Jul 2005,100.4,100.4,98,105.9,135700,135700,132300,143000
Aug 2005,102,102,100.1,106.5,137900,137900,135100,143800
Sep 2005,103.4,103.4,101.9,107.2,139800,139800,137600,144700
Oct 2005,104.3,104.3,101.4,111.2,141000,141000,136900,150100
Nov 2005,107,107,103.7,115.2,144700,144700,140000,155500
Dec 2005,106.1,106.1,100,120.2,143500,143500,135000,162300
Jan 2006,107.7,107.7,103.1,117.6,145600,145600,139200,158800
Feb 2006,109.5,109.5,106.8,115.6,148000,148000,144200,156000
Mar 2006,109.1,109.1,107.3,113,147500,147500,144900,152500
Apr 2006,111.4,111.4,110.7,114.2,150600,150600,149400,154200
May 2006,110.1,110.1,108.4,115.1,148900,148900,146300,155400
Jun 2006,109.4,109.4,106.6,116.2,147900,147900,143900,156900
Jul 2006,116,116,114.2,120.1,156800,156800,154200,162100
Aug 2006,117.2,117.2,114.1,124.2,158500,158500,154100,167700
Sep 2006,119.2,119.2,115.1,128.4,161100,161100,155400,173300
Oct 2006,120.3,120.3,116.2,129.6,162600,162600,156900,174900
Nov 2006,121.9,121.9,118.2,130.6,164800,164800,159600,176300
Dec 2006,123.7,123.7,119.9,132.3,167300,167300,161900,178600
Jan 2007,126.1,126.1,122.5,134,170500,170500,165400,180900
Feb 2007,126.7,126.7,122.6,136,171300,171300,165500,183600
Mar 2007,133.1,133.1,131.3,137.7,180000,180000,177200,185900
Apr 2007,133.4,133.4,130.8,140.4,180400,180400,176600,189500
May 2007,138.5,138.5,137,142.8,187200,187200,184900,192800
Jun 2007,140.1,140.1,138.1,145.6,189400,189400,186400,196600
Jul 2007,142.2,142.2,140,147.6,192300,192300,189000,199300
Aug 2007,143.4,143.4,140.6,150.1,193900,193900,189800,202700
Sep 2007,143.9,143.9,140.2,152.4,194500,194500,189300,205800
Oct 2007,147.5,147.5,145,153.6,199400,199400,195800,207300
Nov 2007,151.2,151.2,150,154.7,204400,204400,202500,208900
Dec 2007,153.4,153.4,152.3,156.5,207400,207400,205600,211300
Jan 2008,156.2,156.2,153.8,161.6,211200,211200,207600,218200
Feb 2008,161.3,161.3,159.3,166.4,218100,218100,215100,224600
Mar 2008,163.8,163.8,160.5,171.9,221400,221400,216700,232000
Apr 2008,163.8,163.8,160.5,172.1,221400,221400,216700,232400
May 2008,164.1,164.1,160.7,172.4,221900,221900,217000,232700
Jun 2008,165.1,165.1,161.8,173,223200,223200,218400,233500
Jul 2008,162,162,158.1,171.1,219000,219000,213500,231000
Aug 2008,164.6,164.6,162.7,169.4,222500,222500,219700,228700
Sep 2008,163.6,163.6,162.1,167.8,221200,221200,218800,226500
Oct 2008,159,159,157.9,162,215000,215000,213200,218700
Nov 2008,154.6,154.6,154,157,209000,209000,207900,211900
Dec 2008,154.3,154.3,155.4,152.1,208600,208600,209800,205400
Jan 2009,153.4,153.4,155.2,149.6,207400,207400,209500,202000
Feb 2009,148.7,148.7,149.9,146.5,201000,201000,202300,197800
Mar 2009,138.4,138.4,136.5,143.8,187100,187100,184300,194100
Apr 2009,141.7,141.7,140.7,145,191600,191600,190000,195800
May 2009,145.6,145.6,145.6,146.4,196900,196900,196600,197600
Jun 2009,147.4,147.4,147.1,148.7,199300,199300,198600,200700
Jul 2009,146.2,146.2,146.3,147.2,197700,197700,197500,198700
Aug 2009,146.2,146.2,146.5,146.2,197700,197700,197800,197400
Sep 2009,149.1,149.1,150.9,146.1,201600,201600,203700,197200
Oct 2009,151.8,151.8,153.4,148.5,205300,205300,207100,200500
