Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
Jan 2005,100,100,100,100,138300,138300,149200,123900
Feb 2005,100.7,100.7,100.9,100.4,139200,139200,150600,124400
Mar 2005,100.9,100.9,101.1,100.9,139600,139600,150800,125000
Apr 2005,101.2,101.2,101.3,101.2,139900,139900,151100,125400
May 2005,100.9,100.9,100.7,101.5,139600,139600,150200,125800
Jun 2005,100.8,100.8,100.3,101.9,139400,139400,149600,126200
Jul 2005,101.2,101.2,100.5,102.4,140000,140000,150000,126900
Aug 2005,101.7,101.7,101,103,140700,140700,150700,127600
Sep 2005,102.2,102.2,101.7,103.7,141400,141400,151800,128500
Oct 2005,103.8,103.8,103.4,104.4,143500,143500,154300,129300
Nov 2005,105.2,105.2,105.5,105,145500,145500,157400,130100
Dec 2005,107.2,107.2,107.8,105.6,148200,148200,160800,130900
Jan 2006,106.3,106.3,106.7,105.9,147000,147000,159200,131200
Feb 2006,105.7,105.7,105.5,106.1,146200,146200,157400,131400
Mar 2006,104.7,104.7,103.8,106.2,144800,144800,154800,131600
Apr 2006,106.4,106.4,106.4,106.4,147100,147100,158800,131800
May 2006,107.7,107.7,108.6,106.4,148900,148900,162000,131800
Jun 2006,109,109,110.8,106.5,150800,150800,165300,131900
Jul 2006,109.8,109.8,111.2,107.6,151800,151800,165900,133300
Aug 2006,110.6,110.6,111.7,108.9,152900,152900,166600,134900
Sep 2006,111.4,111.4,112.5,110.1,154000,154000,167800,136400
Oct 2006,111.7,111.7,111.9,111.5,154500,154500,167000,138200
Nov 2006,112.2,112.2,111.8,113,155200,155200,166800,140000
Dec 2006,113.1,113.1,111.9,114.4,156400,156400,166900,141800
Jan 2007,113.9,113.9,113.3,115.2,157500,157500,169000,142700
Feb 2007,115,115,114.8,115.7,159000,159000,171300,143300
Mar 2007,115.8,115.8,115.5,116.3,160200,160200,172400,144100
Apr 2007,115.5,115.5,115,116.5,159800,159800,171600,144400
May 2007,115,115,113.9,117.1,159100,159100,170000,145100
Jun 2007,114.5,114.5,112.7,117.3,158300,158300,168200,145300
Jul 2007,114.5,114.5,113.3,116.7,158400,158400,169000,144600
Aug 2007,114.8,114.8,113.8,116.2,158700,158700,169800,144000
Sep 2007,114.9,114.9,114.7,115.9,158900,158900,171200,143600
Oct 2007,115.4,115.4,115.2,115.5,159600,159600,171900,143100
Nov 2007,116,116,116.6,115.3,160400,160400,173900,142800
Dec 2007,116.9,116.9,117.8,115.3,161700,161700,175700,142800
Jan 2008,117.1,117.1,117.5,116.6,161900,161900,175300,144500
Feb 2008,117.4,117.4,117.2,118,162300,162300,174900,146200
Mar 2008,117.4,117.4,116.4,119.4,162300,162300,173700,147900
Apr 2008,118.4,118.4,117.8,120.1,163700,163700,175700,148800
May 2008,119.7,119.7,119,121.5,165600,165600,177500,150500
Jun 2008,120.2,120.2,119.6,121.9,166200,166200,178400,151000
Jul 2008,121,121,120.5,122.4,167400,167400,179800,151700
Aug 2008,121.5,121.5,121.2,122.4,168000,168000,180900,151700
Sep 2008,122.1,122.1,122.5,122.8,168900,168900,182700,152100
Oct 2008,120.1,120.1,118,122.9,166100,166100,176000,152300
Nov 2008,118.1,118.1,114.8,123.6,163400,163400,171300,153100
Dec 2008,116.6,116.6,111.4,124.6,161200,161200,166200,154400
Jan 2009,116.4,116.4,111.7,124,161000,161000,166700,153600
Feb 2009,116.2,116.2,112,123.2,160700,160700,167100,152600
Mar 2009,115.9,115.9,111.8,122.5,160300,160300,166800,151800
Apr 2009,115.9,115.9,113.4,120.9,160300,160300,169200,149800
May 2009,117,117,115.3,120,161800,161800,172000,148700
Jun 2009,116.6,116.6,116,117.7,161200,161200,173100,145800
Jul 2009,116.6,116.6,115.8,118.1,161300,161300,172800,146300
Aug 2009,116.5,116.5,115.6,117.9,161100,161100,172500,146100
Sep 2009,116.5,116.5,115.3,118.5,161100,161100,172100,146800
Oct 2009,117.6,117.6,115.7,119.3,162600,162600,172600,147800
Nov 2009,118.7,118.7,117.7,120,164100,164100,175600,148700
Dec 2009,120.2,120.2,119.1,121.3,166200,166200,177700,150300
Jan 2010,121.7,121.7,121.6,121.7,168300,168300,181500,150800
Feb 2010,122.6,122.6,121.6,124,169500,169500,181400,153600
Mar 2010,123.2,123.2,123.3,122.2,170400,170400,183900,151400
Apr 2010,121,121,120.2,123.3,167400,167400,179400,152800
May 2010,119.3,119.3,117.2,122,165000,165000,174900,151100
Jun 2010,118.9,118.9,116.3,122.2,164500,164500,173500,151400
Jul 2010,118.9,118.9,116.2,122.6,164500,164500,173300,151900
Aug 2010,118.1,118.1,115.1,122.3,163400,163400,171700,151500
Sep 2010,118.8,118.8,116.6,121.6,164300,164300,173900,150700
Oct 2010,121.9,121.9,119.4,123.2,168600,168600,178100,152700
Nov 2010,120.6,120.6,118.7,122.5,166800,166800,177100,151800
Dec 2010,118.8,118.8,117.2,119.9,164300,164300,174900,148500
Jan 2011,116.8,116.8,114.7,119.7,161500,161500,171100,148300
Feb 2011,114,114,110.9,118.4,157600,157600,165400,146700
Mar 2011,118.4,118.4,116.2,120.3,163700,163700,173400,149100
Apr 2011,120.7,120.7,119.3,123.2,166900,166900,178000,152700
May 2011,121,121,117.7,124.5,167300,167300,175600,154300
