Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,187000,198600,193400,202900,106200,129300
Feb 2005,101,101.1,100.3,102.1,100.1,99.2,188900,200700,194000,207100,106300,128300
Mar 2005,101.8,102,100.5,103.1,100.4,98.5,190300,202600,194400,209200,106600,127400
Apr 2005,101.8,101.9,99.7,103.8,100.5,97.8,190300,202400,192900,210700,106700,126400
May 2005,101.6,101.8,99,104.1,100.7,97.1,190000,202200,191500,211200,106900,125500
Jun 2005,101.3,101.5,98.3,104,100.7,96.4,189500,201500,190100,211000,106900,124600
Jul 2005,101.1,101.3,98.1,103.9,100.7,95.7,189000,201100,189700,210800,106900,123700
Aug 2005,100.7,100.9,98,103.3,100.8,94.9,188400,200400,189600,209600,107100,122700
Sep 2005,100.3,100.6,98.1,102.7,101.1,94.2,187600,199700,189700,208300,107400,121800
Oct 2005,100.6,100.9,98.4,102.9,101.2,93.5,188200,200400,190300,208700,107500,120900
Nov 2005,101,101.4,99,103.3,101.4,92.8,188900,201300,191500,209500,107700,120000
Dec 2005,101.4,101.8,99.7,103.6,101.7,92.1,189700,202200,192800,210200,108000,119100
Jan 2006,102.3,102.7,100.9,104.2,102.9,92.7,191300,204000,195100,211500,109300,119900
Feb 2006,103,103.4,101.8,105,104.3,93.3,192600,205300,196900,213100,110800,120700
Mar 2006,103.6,104,102.8,105,106,94,193800,206600,198800,213000,112600,121500
Apr 2006,102.4,102.4,100.4,104.1,107.6,94.6,191400,203400,194200,211200,114300,122300
May 2006,101,100.9,98.3,102.9,109,95.2,188900,200300,190200,208800,115800,123100
Jun 2006,99.6,99.1,96.3,101.4,110.5,95.8,186200,196900,186200,205800,117400,123900
Jul 2006,100.2,99.8,96.8,102.4,110.6,95.9,187400,198300,187200,207800,117500,124000
Aug 2006,100.7,100.4,97.3,103,111,96.1,188400,199400,188200,209000,117900,124200
Sep 2006,101.3,101,98,103.5,111.5,96.2,189400,200600,189600,210100,118400,124400
Oct 2006,101.3,101,98.1,103.3,112,96.3,189400,200500,189800,209500,118900,124500
Nov 2006,101.4,101.1,98.4,103.1,112.2,96.4,189600,200700,190400,209200,119200,124700
Dec 2006,101.5,101.1,98.8,103,112.8,96.6,189800,200800,191100,208900,119800,124900
Jan 2007,100.4,100.2,98.6,101.4,110.7,95.4,187800,198900,190600,205800,117600,123400
Feb 2007,99.2,98.9,97.8,100.2,108.5,94.4,185500,196500,189100,203300,115200,122000
Mar 2007,98,97.9,97.2,98.6,106.8,93.3,183300,194400,187900,200100,113400,120600
Apr 2007,98.6,98.5,96.5,100.1,105,92.2,184300,195700,186600,203200,111500,119200
May 2007,99.3,99.3,96.2,101.9,103.1,91.2,185600,197300,186000,206700,109500,117900
Jun 2007,99.5,99.7,95.7,103.3,101.2,90.1,186000,198100,185000,209600,107500,116500
