Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA
Jan 2005,100,100,100,100,100,163200,170000,154000,183000,96500
Feb 2005,100.7,100.8,101,100.6,100.4,164400,171400,155600,184100,96900
Mar 2005,101.4,101.5,102.1,101.1,100.7,165500,172600,157300,185100,97200
Apr 2005,102.5,102.7,102.8,102.6,101.1,167200,174600,158300,187700,97600
May 2005,103.4,103.8,103.5,103.9,101.6,168800,176500,159400,190200,98000
Jun 2005,104.4,104.9,104.2,105.2,101.9,170400,178300,160400,192600,98300
Jul 2005,106.1,106.6,105.3,107.5,102.3,173200,181300,162100,196700,98700
Aug 2005,107.8,108.4,106.4,109.6,102.6,176000,184200,163900,200600,99000
Sep 2005,109.5,110,107.5,111.7,103,178700,187000,165500,204500,99400
Oct 2005,110.5,111,108.3,112.8,103.4,180300,188700,166800,206500,99800
Nov 2005,111.4,111.9,108.9,114,103.7,181800,190300,167700,208700,100100
Dec 2005,112.4,112.9,109.6,115.2,104.1,183400,192000,168800,210900,100500
Jan 2006,113.7,114.1,111,116.2,106.2,185500,194000,170900,212700,102500
Feb 2006,114.8,115.4,112.2,117.4,108.4,187400,196100,172800,214900,104600
Mar 2006,116,116.4,113.4,118.5,110.6,189300,197900,174600,216900,106700
Apr 2006,116.7,117.1,112.9,119.8,112.7,190500,199100,173900,219300,108800
May 2006,117.4,117.8,112.5,121.2,115,191600,200200,173300,221800,111000
Jun 2006,118.1,118.4,112.1,122.5,117.3,192700,201300,172700,224200,113200
Jul 2006,117.6,117.8,112.5,121.5,117.1,191900,200300,173300,222300,113000
Aug 2006,117,117.2,112.8,120.2,116.8,190900,199200,173700,219900,112700
Sep 2006,116.3,116.5,112.9,119,116.6,189800,198000,173900,217700,112500
Oct 2006,117.1,117.2,114.9,118.9,116.3,191100,199300,176900,217500,112200
Nov 2006,117.7,117.9,116.6,118.8,116.1,192100,200500,179600,217400,112000
Dec 2006,118.4,118.6,118.4,118.7,115.8,193200,201600,182400,217300,111700
Jan 2007,119.4,119.5,119,119.8,117.7,194800,203200,183200,219300,113600
Feb 2007,120,120.1,119.2,120.6,119.7,195800,204100,183600,220700,115500
Mar 2007,120.8,120.8,119.5,121.5,121.7,197100,205300,184000,222300,117400
Apr 2007,120.8,120.9,119.6,121.7,123.6,197200,205500,184200,222700,119300
May 2007,121,121,119.6,122,125.7,197500,205700,184200,223300,121300
Jun 2007,121.3,121.2,119.6,122.2,127.8,197900,206100,184200,223700,123300
Jul 2007,121.4,121.2,119.5,122.5,126.7,198100,206100,184000,224200,122300
Aug 2007,121.4,121.4,119.3,122.8,125.7,198200,206300,183700,224700,121300
Sep 2007,121.2,121.2,118.8,122.8,124.7,197800,206000,183000,224800,120300
Oct 2007,122.4,122.5,119.1,124.8,123.6,199800,208200,183400,228400,119300
Nov 2007,123.3,123.5,119.1,126.5,122.6,201200,209900,183400,231500,118300
Dec 2007,124.4,124.7,119.2,128.5,121.7,203000,212000,183500,235200,117400
Jan 2008,125.1,125.4,119.9,129.2,123.8,204200,213200,184700,236400,119500
Feb 2008,125.2,125.4,120.6,128.7,126,204300,213100,185800,235600,121600
Mar 2008,126,126.1,121,129,128.4,205700,214300,186400,236100,123900
Apr 2008,124.9,124.8,121.9,127,130.5,203900,212100,187800,232400,125900
May 2008,124.3,123.9,122.5,125.1,133.3,202900,210700,188700,228900,128600
Jun 2008,124,123.4,123.1,123.5,135.9,202300,209700,189500,226000,131100
Jul 2008,124.5,124.1,123.2,124.9,135.1,203200,210900,189800,228500,130400
Aug 2008,125.7,125.2,123.3,126.6,134.3,205100,212800,189900,231700,129600
Sep 2008,126.2,125.9,123.1,128.1,133.3,206000,214000,189600,234500,128600
Oct 2008,125.3,124.8,122,127.1,132.2,204500,212100,187900,232600,127600
Nov 2008,123.7,123.1,120.6,125.4,131.5,201800,209300,185700,229400,126900
Dec 2008,122.5,121.9,119.4,124.2,130.6,200000,207300,183900,227300,126000
Jan 2009,121.4,120.8,117.1,123.9,129.6,198100,205300,180400,226700,125100
Feb 2009,119.2,118.6,114.8,121.7,128.9,194500,201600,176800,222800,124400
Mar 2009,118.2,117.5,112.1,121.1,127.9,192900,199800,172700,221700,123400
Apr 2009,118.3,117.9,113.6,121.3,126.5,193100,200400,174900,221900,122100
May 2009,118.7,118.2,114.7,121.3,125.6,193700,201000,176700,221900,121200
Jun 2009,119.4,119.1,116.4,121.4,124.8,194900,202400,179200,222100,120400
Jul 2009,119.7,119.2,116.9,121.6,126.4,195400,202700,180000,222500,122000
Aug 2009,120.5,120,117.5,122.6,127.7,196700,204000,181000,224300,123200
Sep 2009,121.1,120.5,118,123.1,129.1,197600,204800,181700,225300,124600
Oct 2009,121.9,121.1,118.6,123.9,130.7,198900,205800,182700,226800,126100
Nov 2009,121.8,121.1,119.4,123.5,132.3,198800,205900,183800,226000,127700
Dec 2009,122.7,121.9,120.1,124.2,134.1,200300,207300,185000,227300,129400
Jan 2010,121.6,120.9,120.4,122.5,128.3,198400,205500,185400,224100,123800
Feb 2010,123.5,122.9,121.8,124.8,131.2,201600,209000,187600,228300,126600
Mar 2010,122.5,121.6,121.7,121.7,130.3,200000,206800,187400,222800,125700
Apr 2010,124.5,124,120.8,127.5,127.2,203200,210800,186100,233400,122700
May 2010,125.2,124.6,121.2,128.4,129,204400,211900,186700,235000,124500
Jun 2010,125.2,124.8,122.3,127.7,128.6,204400,212200,188300,233600,124100
Jul 2010,125.1,124.8,122.2,127.8,127.7,204200,212200,188200,233900,123200
Aug 2010,124.4,124.4,122.8,126.6,124.9,203100,211500,189100,231600,120500
Sep 2010,126.1,125.9,124.5,128,127.3,205800,214000,191800,234200,122800
Oct 2010,124.6,124.2,122.3,126.6,126.4,203400,211100,188300,231600,122000
Nov 2010,126.8,126.6,126,127.8,127.3,207000,215200,194100,233900,122800
Dec 2010,126.3,126.1,125.5,127,124.9,206100,214300,193200,232500,120500
Jan 2011,127,126.8,126,128.4,121.2,207200,215600,194000,235000,117000
Feb 2011,127.5,127.3,125.5,129.2,124.5,208000,216400,193300,236500,120100
Mar 2011,128.4,128.1,125.1,129.9,123.7,209500,217800,192600,237800,119400
Apr 2011,128.6,128.4,126.6,130.1,123.2,209800,218300,194900,238000,118900
May 2011,128.5,128.6,126.8,130.5,121.5,209700,218700,195200,238900,117200
Jun 2011,127.3,127.6,125.3,129.6,118.8,207800,216900,192900,237100,114600
Jul 2011,127.8,127.9,124.9,130.3,120.9,208600,217400,192300,238400,116700
